# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
CADBPJ010000006.1	cds	3024	3869	-	BBJOLO_00036	-	-	-	-	-	-
CADBPJ010000007.1	cds	53	1858	+	BBJOLO_00037	-	-	-	-	-	-
CADBPJ010000007.1	cds	1863	2117	+	BBJOLO_00038	-	-	-	-	-	-
CADBPJ010000007.1	cds	2170	3852	+	BBJOLO_00039	-	-	-	-	-	-
CADBPJ010000007.1	cds	3858	4307	+	BBJOLO_00040	-	-	-	-	-	-
CADBPJ010000007.1	cds	4324	4635	+	BBJOLO_00041	122.0	1.4e-35	1.0	0.866	0.563	UniRef:UniRef50_W9BGZ1
CADBPJ010000007.1	cds	4655	5737	+	BBJOLO_00042	340.0	2.7e-113	0.953	0.875	0.659	UniRef:UniRef50_F2NAX9
CADBPJ010000007.1	cds	5765	6616	+	BBJOLO_00043	310.0	1.8e-104	0.986	0.959	0.556	UniRef:UniRef50_D4MU08
CADBPJ010000007.1	cds	6629	7495	+	BBJOLO_00044	352.0	1.7e-120	0.997	0.926	0.592	UniRef:UniRef50_A0A0D6DX95
CADBPJ010000007.1	cds	7633	8697	-	BBJOLO_00045	-	-	-	-	-	-
CADBPJ010000007.1	cds	8728	9378	-	BBJOLO_00046	-	-	-	-	-	-
CADBPJ010000007.1	cds	9406	10188	-	BBJOLO_00047	-	-	-	-	-	-
CADBPJ010000007.1	cds	10207	11031	-	BBJOLO_00048	348.0	1.3e-119	0.996	0.935	0.626	UniRef:UniRef50_G5IK02
CADBPJ010000007.1	cds	11044	12453	-	BBJOLO_00049	-	-	-	-	-	-
CADBPJ010000007.1	cds	12450	13436	-	BBJOLO_00050	-	-	-	-	-	-
CADBPJ010000007.1	cds	13718	15148	-	BBJOLO_00051	505.0	4.5e-175	1.002	0.984	0.505	UniRef:UniRef50_A0A416G7A6
CADBPJ010000007.1	cds	15164	16465	-	BBJOLO_00052	409.0	6.5e-139	0.968	0.961	0.518	UniRef:UniRef50_A0A7C6KQC8
CADBPJ010000007.1	cds	16458	17927	-	BBJOLO_00053	-	-	-	-	-	-
CADBPJ010000007.1	cds	17936	18784	-	BBJOLO_00054	332.0	9.3e-113	1.0	0.892	0.553	UniRef:UniRef50_A0A0F0CCN3
CADBPJ010000007.1	cds	18796	19452	-	BBJOLO_00055	-	-	-	-	-	-
CADBPJ010000007.1	cds	19468	20523	-	BBJOLO_00056	-	-	-	-	-	-
CADBPJ010000007.1	cds	20544	20984	-	BBJOLO_00057	-	-	-	-	-	-
CADBPJ010000008.1	cds	147	953	+	BBJOLO_00058	-	-	-	-	-	-
CADBPJ010000008.1	cds	1039	1815	+	BBJOLO_00059	275.0	1.0e-90	1.016	0.829	0.561	UniRef:UniRef50_A0A2M9MZS9
CADBPJ010000008.1	cds	1822	2595	-	BBJOLO_00060	-	-	-	-	-	-
CADBPJ010000008.1	cds	2610	4058	-	BBJOLO_00061	538.0	1.2e-187	0.998	0.962	0.574	UniRef:UniRef50_G5GHZ8
CADBPJ010000008.1	cds	4143	6020	+	BBJOLO_00062	625.0	4.5e-217	0.984	0.918	0.522	UniRef:UniRef50_Q0TPD8
CADBPJ010000008.1	cds	6020	6829	+	BBJOLO_00063	331.0	1.3e-112	0.993	0.861	0.629	UniRef:UniRef50_A0A1J5MZW3
CADBPJ010000008.1	cds	6847	7725	+	BBJOLO_00064	265.0	4.9e-86	0.853	0.806	0.534	UniRef:UniRef50_B8I3T3
CADBPJ010000008.1	cds	7750	8568	+	BBJOLO_00065	-	-	-	-	-	-
CADBPJ010000008.1	cds	8580	9191	+	BBJOLO_00066	-	-	-	-	-	-
CADBPJ010000008.1	cds	9203	9919	+	BBJOLO_00067	-	-	-	-	-	-
CADBPJ010000008.1	cds	10108	10734	-	BBJOLO_00068	-	-	-	-	-	-
CADBPJ010000008.1	cds	10808	11824	-	BBJOLO_00069	-	-	-	-	-	-
CADBPJ010000008.1	cds	11998	12996	-	BBJOLO_00070	-	-	-	-	-	-
CADBPJ010000009.1	cds	674	1159	-	BBJOLO_00071	-	-	-	-	-	-
CADBPJ010000009.1	cds	1188	2729	-	BBJOLO_00072	-	-	-	-	-	-
CADBPJ010000010.1	cds	79	444	+	BBJOLO_00073	-	-	-	-	-	-
CADBPJ010000010.1	cds	566	2404	+	BBJOLO_00074	-	-	-	-	-	-
CADBPJ010000010.1	cds	2680	3282	+	BBJOLO_00075	-	-	-	-	-	-
CADBPJ010000010.1	cds	3295	4302	+	BBJOLO_00076	383.0	3.6e-131	0.970	0.910	0.609	UniRef:UniRef50_B3R0J0
CADBPJ010000010.1	cds	4330	5925	+	BBJOLO_00077	-	-	-	-	-	-
CADBPJ010000010.1	cds	5982	6575	+	BBJOLO_00078	191.0	4.9e-60	0.980	0.937	0.523	UniRef:UniRef50_A0A847C862
CADBPJ010000010.1	cds	6669	7004	+	BBJOLO_00079	-	-	-	-	-	-
CADBPJ010000010.1	cds	7024	8367	+	BBJOLO_00080	522.0	1.3e-182	0.966	0.945	0.616	UniRef:UniRef50_A0A1F2QJ72
CADBPJ010000010.1	cds	8403	8675	+	BBJOLO_00081	102.0	2.5e-28	0.889	0.833	0.563	UniRef:UniRef50_Q2SL58
CADBPJ010000010.1	cds	8690	8920	+	BBJOLO_00082	86.7	2.9e-22	1.0	0.864	0.658	UniRef:UniRef50_L0K7S1
CADBPJ010000010.1	cds	8988	9503	+	BBJOLO_00083	217.0	4.0e-71	0.977	0.918	0.629	UniRef:UniRef50_A0A373QCV5
CADBPJ010000010.1	cds	9490	10239	+	BBJOLO_00084	282.0	1.1e-93	0.996	0.832	0.536	UniRef:UniRef50_A0A9D1ZCT6
CADBPJ010000010.1	cds	10229	10600	+	BBJOLO_00085	-	-	-	-	-	-
CADBPJ010000010.1	cds	10611	11732	+	BBJOLO_00086	442.0	9.4e-153	0.984	0.864	0.602	UniRef:UniRef50_A0A653AR93
CADBPJ010000010.1	cds	11811	13589	-	BBJOLO_00087	-	-	-	-	-	-
CADBPJ010000010.1	cds	13688	14794	-	BBJOLO_00088	-	-	-	-	-	-
CADBPJ010000010.1	cds	14996	15274	+	BBJOLO_00089	-	-	-	-	-	-
CADBPJ010000010.1	cds	15228	16475	+	BBJOLO_00090	-	-	-	-	-	-
CADBPJ010000010.1	cds	16481	17452	+	BBJOLO_00091	355.0	2.0e-120	0.944	0.852	0.564	UniRef:UniRef50_U2L589
CADBPJ010000010.1	cds	17456	17947	+	BBJOLO_00092	180.0	7.8e-57	1.012	0.971	0.612	UniRef:UniRef50_A0A373QAR7
CADBPJ010000010.1	cds	17940	18842	+	BBJOLO_00093	305.0	1.2e-101	0.977	0.918	0.526	UniRef:UniRef50_A5I626
CADBPJ010000010.1	cds	18842	19582	+	BBJOLO_00094	-	-	-	-	-	-
CADBPJ010000010.1	cds	19743	20006	+	BBJOLO_00095	-	-	-	-	-	-
CADBPJ010000010.1	cds	20028	21158	+	BBJOLO_00096	-	-	-	-	-	-
CADBPJ010000010.1	cds	21502	21690	+	BBJOLO_00097	-	-	-	-	-	-
CADBPJ010000010.1	cds	21737	22261	+	BBJOLO_00098	173.0	2.3e-53	0.989	0.815	0.517	UniRef:UniRef50_N1ZEE1
CADBPJ010000010.1	cds	22402	22827	+	BBJOLO_00099	163.0	1.5e-50	1.0	0.839	0.596	UniRef:UniRef50_P10055
CADBPJ010000010.1	cds	22892	23584	+	BBJOLO_00100	318.0	7.0e-109	0.996	0.858	0.677	UniRef:UniRef50_P29393
CADBPJ010000010.1	ncRNA-region	23745	23876	+	-	56.6	3.2e-06	-	-	-	RFAM:RF00557
CADBPJ010000010.1	cds	23825	24568	+	BBJOLO_00101	-	-	-	-	-	-
CADBPJ010000010.1	cds	24612	24983	+	BBJOLO_00102	127.0	1.3e-36	1.0	0.804	0.650	UniRef:UniRef50_Q0VSM3
CADBPJ010000010.1	cds	25028	25540	+	BBJOLO_00103	-	-	-	-	-	-
CADBPJ010000010.1	cds	25592	25771	+	BBJOLO_00104	-	-	-	-	-	-
CADBPJ010000010.1	cds	26012	26851	+	BBJOLO_00105	280.0	3.9e-92	1.054	0.951	0.500	UniRef:UniRef50_A0A3D1HVP0
CADBPJ010000010.1	cds	26848	27921	+	BBJOLO_00106	463.0	3.1e-162	0.986	0.957	0.665	UniRef:UniRef50_A0A928NIE6
CADBPJ010000010.1	cds	27936	29531	+	BBJOLO_00107	-	-	-	-	-	-
CADBPJ010000010.1	cds	29528	30589	+	BBJOLO_00108	334.0	1.1e-111	1.014	1.008	0.500	UniRef:UniRef50_A0A939ZBX6
CADBPJ010000010.1	cds	30579	30797	-	BBJOLO_00109	-	-	-	-	-	-
CADBPJ010000010.1	cds	31002	31712	+	BBJOLO_00110	330.0	4.3e-113	0.996	0.861	0.689	UniRef:UniRef50_Q8KDT4
CADBPJ010000010.1	cds	31783	33213	+	BBJOLO_00111	660.0	8.1e-236	0.943	0.875	0.735	UniRef:UniRef50_J6H1E2
CADBPJ010000010.1	cds	33238	34512	+	BBJOLO_00112	474.0	4.8e-164	0.991	0.899	0.540	UniRef:UniRef50_V2YFN8
CADBPJ010000010.1	cds	34641	36080	-	BBJOLO_00113	474.0	8.4e-163	0.992	0.965	0.509	UniRef:UniRef50_F3AYR4
CADBPJ010000010.1	cds	36117	37541	-	BBJOLO_00114	480.0	1.9e-165	0.956	0.940	0.541	UniRef:UniRef50_A0A939R9J3
CADBPJ010000010.1	cds	37504	39834	-	BBJOLO_00115	841.0	8.6e-298	1.023	0.989	0.554	UniRef:UniRef50_L7VUV5
CADBPJ010000010.1	cds	40107	40946	+	BBJOLO_00116	306.0	1.1e-102	0.975	0.866	0.566	UniRef:UniRef50_Q8DM44
CADBPJ010000010.1	cds	40943	41794	+	BBJOLO_00117	330.0	1.7e-112	0.982	0.986	0.619	UniRef:UniRef50_E0E1N0
CADBPJ010000010.1	cds	41791	42180	+	BBJOLO_00118	158.0	4.3e-49	0.977	0.947	0.611	UniRef:UniRef50_Q9PIK3
CADBPJ010000011.1	cds	379	576	+	BBJOLO_00119	-	-	-	-	-	-
CADBPJ010000011.1	cds	663	875	-	BBJOLO_00120	-	-	-	-	-	-
CADBPJ010000011.1	cds	875	1528	-	BBJOLO_00121	-	-	-	-	-	-
CADBPJ010000011.1	cds	1691	2299	+	BBJOLO_00122	-	-	-	-	-	-
CADBPJ010000011.1	cds	2522	3868	-	BBJOLO_00123	-	-	-	-	-	-
CADBPJ010000012.1	cds	8	1081	+	BBJOLO_00124	-	-	-	-	-	-
CADBPJ010000012.1	cds	1144	2247	+	BBJOLO_00125	-	-	-	-	-	-
CADBPJ010000012.1	tRNA	2344	2432	+	BBJOLO_00126	83.0	-	-	-	-	-
CADBPJ010000013.1	cds	701	910	-	BBJOLO_00127	68.9	1.8e-15	1.0	0.863	0.522	UniRef:UniRef50_A3DH52
CADBPJ010000013.1	cds	1027	1440	+	BBJOLO_00128	-	-	-	-	-	-
CADBPJ010000013.1	cds	1492	2019	+	BBJOLO_00129	254.0	4.3e-86	0.886	0.951	0.787	UniRef:UniRef50_A0A373QA86
CADBPJ010000013.1	cds	2249	2926	+	BBJOLO_00130	-	-	-	-	-	-
CADBPJ010000013.1	cds	2926	3393	+	BBJOLO_00131	177.0	2.2e-55	0.987	0.827	0.556	UniRef:UniRef50_Q5L8X2
CADBPJ010000013.1	cds	3411	4382	+	BBJOLO_00132	-	-	-	-	-	-
CADBPJ010000013.1	cds	4514	5257	-	BBJOLO_00133	299.0	6.0e-101	0.972	0.923	0.621	UniRef:UniRef50_K2EWR8
CADBPJ010000013.1	cds	5247	6632	-	BBJOLO_00134	-	-	-	-	-	-
CADBPJ010000013.1	cds	6700	7476	-	BBJOLO_00135	-	-	-	-	-	-
CADBPJ010000013.1	cds	7604	9091	-	BBJOLO_00136	387.0	1.5e-127	0.945	0.857	0.506	UniRef:UniRef50_A0A6N8I1Z9
CADBPJ010000013.1	cds	9444	11384	-	BBJOLO_00137	797.0	5.7e-285	1.005	1.0	0.619	UniRef:UniRef50_A0A926DII5
CADBPJ010000013.1	cds	11530	12702	-	BBJOLO_00138	-	-	-	-	-	-
CADBPJ010000013.1	cds	12725	13906	-	BBJOLO_00139	424.0	3.2e-145	1.046	0.932	0.528	UniRef:UniRef50_A0A0L6JGM2
CADBPJ010000013.1	cds	13964	14473	-	BBJOLO_00140	198.0	1.6e-63	1.077	0.989	0.538	UniRef:UniRef50_A0A1V4I846
CADBPJ010000013.1	cds	14796	16637	+	BBJOLO_00141	640.0	2.4e-223	1.085	0.997	0.519	UniRef:UniRef50_A0A7C7D5L0
CADBPJ010000013.1	cds	16664	17479	+	BBJOLO_00142	286.0	3.0e-95	1.007	0.938	0.520	UniRef:UniRef50_R6U0I5
CADBPJ010000013.1	cds	17551	18741	-	BBJOLO_00143	-	-	-	-	-	-
CADBPJ010000013.1	cds	18992	20326	-	BBJOLO_00144	-	-	-	-	-	-
CADBPJ010000013.1	ncRNA-region	20480	20558	+	-	42.8	4.8e-06	-	-	-	RFAM:RF00168
CADBPJ010000014.1	cds	646	1146	-	BBJOLO_00145	168.0	8.5e-52	0.982	0.853	0.558	UniRef:UniRef50_A0A7G8TFS2
CADBPJ010000014.1	cds	1276	2091	-	BBJOLO_00146	-	-	-	-	-	-
CADBPJ010000014.1	cds	2226	2747	+	BBJOLO_00147	-	-	-	-	-	-
CADBPJ010000014.1	cds	2734	3978	+	BBJOLO_00148	424.0	4.3e-145	1.017	1.010	0.539	UniRef:UniRef50_A0A1Q3YX16
CADBPJ010000014.1	cds	4305	4919	-	BBJOLO_00149	-	-	-	-	-	-
CADBPJ010000015.1	cds	23	1438	+	BBJOLO_00150	520.0	8.5e-180	0.992	0.834	0.548	UniRef:UniRef50_A0A9D9KXC9
CADBPJ010000015.1	cds	1454	1975	+	BBJOLO_00151	206.0	9.2e-67	1.017	0.941	0.557	UniRef:UniRef50_A0A926F8L7
CADBPJ010000015.1	cds	2065	3072	+	BBJOLO_00152	379.0	2.3e-129	0.982	0.899	0.553	UniRef:UniRef50_A0A1C6BP49
CADBPJ010000015.1	cds	3087	3443	+	BBJOLO_00153	130.0	2.4e-38	0.992	0.893	0.547	UniRef:UniRef50_F7JRI2
CADBPJ010000015.1	cds	3521	6046	+	BBJOLO_00154	1109.0	0.0	0.993	0.954	0.635	UniRef:UniRef50_A0A090ZI26
CADBPJ010000015.1	cds	6063	6848	+	BBJOLO_00155	280.0	5.9e-93	1.111	0.990	0.503	UniRef:UniRef50_A0A2A7MI63
CADBPJ010000015.1	cds	6963	7697	-	BBJOLO_00156	-	-	-	-	-	-
CADBPJ010000015.1	cds	7744	8535	-	BBJOLO_00157	-	-	-	-	-	-
CADBPJ010000016.1	cds	78	1370	-	BBJOLO_00158	441.0	1.8e-151	0.998	0.977	0.503	UniRef:UniRef50_A0A1V4SSL8
CADBPJ010000016.1	cds	1363	2637	-	BBJOLO_00159	-	-	-	-	-	-
CADBPJ010000016.1	cds	2647	3495	-	BBJOLO_00160	-	-	-	-	-	-
CADBPJ010000016.1	cds	3552	4853	-	BBJOLO_00161	475.0	1.9e-164	1.0	0.939	0.584	UniRef:UniRef50_A0A355TX44
CADBPJ010000016.1	cds	4850	5686	-	BBJOLO_00162	-	-	-	-	-	-
CADBPJ010000017.1	cds	405	746	+	BBJOLO_00163	-	-	-	-	-	-
CADBPJ010000017.1	cds	1314	1580	+	BBJOLO_00164	-	-	-	-	-	-
CADBPJ010000017.1	cds	2261	3535	-	BBJOLO_00165	425.0	3.4e-145	1.024	0.986	0.541	UniRef:UniRef50_A0A0B4S311
CADBPJ010000017.1	cds	3548	4324	-	BBJOLO_00166	-	-	-	-	-	-
CADBPJ010000017.1	cds	4321	4989	-	BBJOLO_00167	-	-	-	-	-	-
CADBPJ010000017.1	cds	5354	6058	-	BBJOLO_00168	226.0	1.4e-72	1.021	0.984	0.506	UniRef:UniRef50_A0A3B8V5S8
CADBPJ010000018.1	cds	43	423	+	BBJOLO_00169	-	-	-	-	-	-
CADBPJ010000018.1	cds	425	781	+	BBJOLO_00170	-	-	-	-	-	-
CADBPJ010000018.1	cds	781	1638	+	BBJOLO_00171	-	-	-	-	-	-
CADBPJ010000018.1	cds	1642	2382	+	BBJOLO_00172	281.0	3.2e-94	1.0	0.969	0.553	UniRef:UniRef50_A0A1C5T7K9
CADBPJ010000019.1	cds	288	686	+	BBJOLO_00173	-	-	-	-	-	-
CADBPJ010000019.1	cds	679	1083	+	BBJOLO_00174	-	-	-	-	-	-
CADBPJ010000019.1	cds	1442	2395	-	BBJOLO_00175	-	-	-	-	-	-
CADBPJ010000020.1	cds	91	756	+	BBJOLO_00176	-	-	-	-	-	-
CADBPJ010000020.1	cds	1392	1670	+	BBJOLO_00177	-	-	-	-	-	-
CADBPJ010000020.1	cds	1660	1902	+	BBJOLO_00178	-	-	-	-	-	-
CADBPJ010000020.1	cds	1965	2234	+	BBJOLO_00179	-	-	-	-	-	-
CADBPJ010000020.1	cds	2227	2370	+	BBJOLO_00180	-	-	-	-	-	-
CADBPJ010000021.1	cds	532	2385	-	BBJOLO_00181	-	-	-	-	-	-
CADBPJ010000022.1	cds	338	1783	-	BBJOLO_00182	-	-	-	-	-	-
CADBPJ010000022.1	cds	1886	2680	-	BBJOLO_00183	320.0	2.4e-108	1.0	0.833	0.576	UniRef:UniRef50_A0A0Q9TXL8
CADBPJ010000022.1	cds	2779	3726	-	BBJOLO_00184	305.0	3.0e-101	0.898	0.855	0.530	UniRef:UniRef50_A0A0J1J3T4
CADBPJ010000022.1	cds	3730	5448	-	BBJOLO_00185	-	-	-	-	-	-
CADBPJ010000022.1	cds	5471	8467	-	BBJOLO_00186	-	-	-	-	-	-
CADBPJ010000022.1	cds	8533	11181	-	BBJOLO_00187	-	-	-	-	-	-
CADBPJ010000022.1	cds	11249	12331	-	BBJOLO_00188	-	-	-	-	-	-
CADBPJ010000023.1	rRNA	1	76	+	BBJOLO_00189	50.6	9.0e-08	-	-	-	RFAM:RF00001
CADBPJ010000023.1	tRNA	91	165	+	BBJOLO_00190	78.4	-	-	-	-	-
CADBPJ010000023.1	tRNA	203	279	+	BBJOLO_00191	81.6	-	-	-	-	-
CADBPJ010000023.1	cds	413	1210	-	BBJOLO_00192	-	-	-	-	-	-
CADBPJ010000023.1	cds	1365	2369	+	BBJOLO_00193	-	-	-	-	-	-
CADBPJ010000023.1	cds	2790	4442	+	BBJOLO_00194	-	-	-	-	-	-
CADBPJ010000024.1	cds	135	296	+	BBJOLO_00195	-	-	-	-	-	-
CADBPJ010000024.1	cds	297	1175	+	BBJOLO_00196	-	-	-	-	-	-
CADBPJ010000024.1	cds	1222	2247	+	BBJOLO_00197	-	-	-	-	-	-
CADBPJ010000024.1	cds	2261	2923	+	BBJOLO_00198	345.0	1.1e-119	1.009	0.899	0.788	UniRef:UniRef50_A0A9D1JAI1
CADBPJ010000025.1	cds	64	1014	+	BBJOLO_00199	429.0	1.2e-150	0.908	1.0	0.721	UniRef:UniRef50_A0A937UN28
CADBPJ010000025.1	cds	1034	2296	+	BBJOLO_00200	505.0	3.9e-176	1.005	0.890	0.609	UniRef:UniRef50_A0A4P9EG55
CADBPJ010000025.1	cds	2319	2792	+	BBJOLO_00201	199.0	1.5e-64	0.930	0.864	0.630	UniRef:UniRef50_A0AAQ3HXU3
CADBPJ010000025.1	cds	2805	3344	+	BBJOLO_00202	180.0	2.9e-56	0.961	0.950	0.512	UniRef:UniRef50_A0A1C5NBF1
CADBPJ010000025.1	cds	3397	4539	+	BBJOLO_00203	-	-	-	-	-	-
CADBPJ010000025.1	cds	4546	5481	+	BBJOLO_00204	-	-	-	-	-	-
CADBPJ010000026.1	cds	1727	2536	-	BBJOLO_00205	-	-	-	-	-	-
CADBPJ010000027.1	cds	373	942	-	BBJOLO_00206	280.0	3.1e-95	0.989	0.899	0.711	UniRef:UniRef50_R7R0U5
CADBPJ010000027.1	cds	944	1819	-	BBJOLO_00207	374.0	3.1e-129	0.979	0.916	0.698	UniRef:UniRef50_P37527
CADBPJ010000027.1	cds	1920	3020	+	BBJOLO_00208	407.0	9.2e-140	0.992	0.960	0.529	UniRef:UniRef50_G9WKA0
CADBPJ010000027.1	ncRNA-region	3057	3163	+	-	60.7	8.7e-10	-	-	-	RFAM:RF00059
CADBPJ010000027.1	cds	3242	3436	+	BBJOLO_00209	85.5	3.0e-22	1.0	0.928	0.656	UniRef:UniRef50_A0A078KQ21
CADBPJ010000027.1	cds	3438	4091	+	BBJOLO_00210	228.0	7.8e-74	0.972	0.851	0.545	UniRef:UniRef50_A0A847DPB8
CADBPJ010000027.1	cds	4084	4854	+	BBJOLO_00211	259.0	4.1e-85	0.980	0.951	0.570	UniRef:UniRef50_A0A498R527
CADBPJ010000027.1	cds	4988	6241	+	BBJOLO_00212	671.0	5.9e-242	1.058	0.984	0.755	UniRef:UniRef50_A0A9E1E169
CADBPJ010000027.1	cds	6234	6824	+	BBJOLO_00213	241.0	1.3e-79	0.974	0.872	0.597	UniRef:UniRef50_A0A0R2HEF5
CADBPJ010000027.1	cds	6821	7462	+	BBJOLO_00214	213.0	6.5e-68	0.986	0.864	0.552	UniRef:UniRef50_A0A1C5SUD7
CADBPJ010000027.1	cds	7538	8347	+	BBJOLO_00215	354.0	1.2e-121	0.985	0.844	0.683	UniRef:UniRef50_A0A1C6JJP9
CADBPJ010000028.1	cds	287	880	+	BBJOLO_00216	233.0	9.0e-77	1.041	1.010	0.639	UniRef:UniRef50_A0A971NGI2
CADBPJ010000028.1	cds	1046	1996	+	BBJOLO_00217	383.0	6.1e-132	0.994	0.963	0.627	UniRef:UniRef50_E3DPU4
CADBPJ010000028.1	cds	2009	2353	+	BBJOLO_00218	166.0	1.6e-52	1.0	0.844	0.746	UniRef:UniRef50_D2RMF1
CADBPJ010000028.1	tRNA	2473	2559	+	BBJOLO_00219	66.2	-	-	-	-	-
CADBPJ010000028.1	cds	2836	3618	-	BBJOLO_00220	-	-	-	-	-	-
CADBPJ010000028.1	cds	3761	5881	+	BBJOLO_00221	755.0	3.1e-266	1.001	0.983	0.537	UniRef:UniRef50_A0A928F1T7
CADBPJ010000028.1	cds	5874	6815	+	BBJOLO_00222	-	-	-	-	-	-
CADBPJ010000028.1	cds	6790	8127	+	BBJOLO_00223	-	-	-	-	-	-
CADBPJ010000028.1	cds	8275	9423	+	BBJOLO_00224	-	-	-	-	-	-
CADBPJ010000029.1	cds	1217	1657	-	BBJOLO_00225	155.0	4.6e-47	1.0	0.849	0.555	UniRef:UniRef50_A0A1B9F5H6
CADBPJ010000029.1	cds	1675	1854	-	BBJOLO_00226	67.4	3.0e-15	1.0	0.967	0.559	UniRef:UniRef50_Q8RIH4
CADBPJ010000029.1	cds	1890	2393	-	BBJOLO_00227	174.0	2.3e-54	0.982	0.916	0.585	UniRef:UniRef50_A0A968P2H7
