# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
CADBPJ010000007.1	cds	12450	13436	-	BBJOLO_00050		hypothetical protein	PFAM:PF00294.29
CADBPJ010000007.1	cds	13718	15148	-	BBJOLO_00051		Aldehyde dehydrogenase family protein	SO:0001217, UniRef:UniRef50_A0A416G7A6
CADBPJ010000007.1	cds	15164	16465	-	BBJOLO_00052		Enolase	SO:0001217, UniRef:UniRef50_A0A7C6KQC8
CADBPJ010000007.1	cds	16458	17927	-	BBJOLO_00053		hypothetical protein	PFAM:PF13660.11
CADBPJ010000007.1	cds	17936	18784	-	BBJOLO_00054		Glyoxal reductase	SO:0001217, UniRef:UniRef50_A0A0F0CCN3
CADBPJ010000007.1	cds	18796	19452	-	BBJOLO_00055		hypothetical protein	PFAM:PF01081.25
CADBPJ010000007.1	cds	19468	20523	-	BBJOLO_00056		hypothetical protein	
CADBPJ010000007.1	cds	20544	20984	-	BBJOLO_00057		hypothetical protein	
CADBPJ010000008.1	cds	147	953	+	BBJOLO_00058		hypothetical protein	PFAM:PF17762.7
CADBPJ010000008.1	cds	1039	1815	+	BBJOLO_00059		Glutamate 5-kinase	SO:0001217, UniRef:UniRef50_A0A2M9MZS9
CADBPJ010000008.1	cds	1822	2595	-	BBJOLO_00060		hypothetical protein	PFAM:PF08282.18
CADBPJ010000008.1	cds	2610	4058	-	BBJOLO_00061		M18 family aminopeptidase	SO:0001217, UniRef:UniRef50_G5GHZ8
CADBPJ010000008.1	cds	4143	6020	+	BBJOLO_00062		1-deoxy-D-xylulose-5-phosphate synthase	SO:0001217, UniRef:UniRef50_Q0TPD8
CADBPJ010000008.1	cds	6020	6829	+	BBJOLO_00063	tlyA	16S/23S rRNA (Cytidine-2'-O)-methyltransferase TlyA	SO:0001217, UniRef:UniRef50_A0A1J5MZW3
CADBPJ010000008.1	cds	6847	7725	+	BBJOLO_00064		4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	SO:0001217, UniRef:UniRef50_B8I3T3
CADBPJ010000008.1	cds	7750	8568	+	BBJOLO_00065		hypothetical protein	
CADBPJ010000008.1	cds	8580	9191	+	BBJOLO_00066		hypothetical protein	
CADBPJ010000008.1	cds	9203	9919	+	BBJOLO_00067		hypothetical protein	
CADBPJ010000008.1	cds	10108	10734	-	BBJOLO_00068		hypothetical protein	
CADBPJ010000008.1	cds	10808	11824	-	BBJOLO_00069		hypothetical protein	PFAM:PF02237.23, PFAM:PF03099.24, PFAM:PF08279.18
CADBPJ010000008.1	cds	11998	12996	-	BBJOLO_00070		hypothetical protein	
CADBPJ010000009.1	cds	674	1159	-	BBJOLO_00071		hypothetical protein	PFAM:PF13306.12
CADBPJ010000009.1	cds	1188	2729	-	BBJOLO_00072		hypothetical protein	PFAM:PF07538.16
CADBPJ010000010.1	cds	79	444	+	BBJOLO_00073		hypothetical protein	PFAM:PF01381.28, PFAM:PF04545.22, PFAM:PF08281.18
CADBPJ010000010.1	cds	566	2404	+	BBJOLO_00074		hypothetical protein	PFAM:PF00733.27, PFAM:PF13522.11, PFAM:PF13537.11
CADBPJ010000010.1	cds	2680	3282	+	BBJOLO_00075		hypothetical protein	PFAM:PF01330.27, PFAM:PF07499.19, PFAM:PF14520.12
CADBPJ010000010.1	cds	3295	4302	+	BBJOLO_00076	ruvB	Holliday junction branch migration complex subunit RuvB	SO:0001217, UniRef:UniRef50_B3R0J0
CADBPJ010000010.1	cds	4330	5925	+	BBJOLO_00077		hypothetical protein	PFAM:PF01520.23, PFAM:PF07833.16
CADBPJ010000010.1	cds	5982	6575	+	BBJOLO_00078		DUF4093 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A847C862
CADBPJ010000010.1	cds	6669	7004	+	BBJOLO_00079		hypothetical protein	PFAM:PF04545.22
CADBPJ010000010.1	cds	7024	8367	+	BBJOLO_00080		Signal recognition particle protein	SO:0001217, UniRef:UniRef50_A0A1F2QJ72
CADBPJ010000010.1	cds	8403	8675	+	BBJOLO_00081		Small ribosomal subunit protein bS16	SO:0001217, UniRef:UniRef50_Q2SL58
CADBPJ010000010.1	cds	8690	8920	+	BBJOLO_00082	khpA	RNA-binding protein KhpA	SO:0001217, UniRef:UniRef50_L0K7S1
CADBPJ010000010.1	cds	8988	9503	+	BBJOLO_00083	rimM	Ribosome maturation factor RimM	SO:0001217, UniRef:UniRef50_A0A373QCV5
CADBPJ010000010.1	cds	9490	10239	+	BBJOLO_00084		tRNA (guanine-N(1)-)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A9D1ZCT6
CADBPJ010000010.1	cds	10229	10600	+	BBJOLO_00085		hypothetical protein	PFAM:PF00633.29, PFAM:PF12836.13
CADBPJ010000010.1	cds	10611	11732	+	BBJOLO_00086		Trans-aconitate 2-methyltransferase	SO:0001217, UniRef:UniRef50_A0A653AR93
CADBPJ010000010.1	cds	11811	13589	-	BBJOLO_00087		hypothetical protein	PFAM:PF00005.33
CADBPJ010000010.1	cds	13688	14794	-	BBJOLO_00088		hypothetical protein	
CADBPJ010000010.1	cds	14996	15274	+	BBJOLO_00089		hypothetical protein	
CADBPJ010000010.1	cds	15228	16475	+	BBJOLO_00090		hypothetical protein	
CADBPJ010000010.1	cds	16481	17452	+	BBJOLO_00091		PhoH-like protein	SO:0001217, UniRef:UniRef50_U2L589
CADBPJ010000010.1	cds	17456	17947	+	BBJOLO_00092	ybeY	Endoribonuclease YbeY	SO:0001217, UniRef:UniRef50_A0A373QAR7
CADBPJ010000010.1	cds	17940	18842	+	BBJOLO_00093		GTPase Era	SO:0001217, UniRef:UniRef50_A5I626
CADBPJ010000010.1	cds	18842	19582	+	BBJOLO_00094		hypothetical protein	PFAM:PF11967.14
CADBPJ010000010.1	cds	19743	20006	+	BBJOLO_00095		hypothetical protein	
CADBPJ010000010.1	cds	20028	21158	+	BBJOLO_00096		hypothetical protein	PFAM:PF04055.27, PFAM:PF06969.22
CADBPJ010000010.1	cds	21502	21690	+	BBJOLO_00097		hypothetical protein	
CADBPJ010000010.1	cds	21737	22261	+	BBJOLO_00098	nusG	Transcription termination/antitermination protein NusG	SO:0001217, UniRef:UniRef50_N1ZEE1
CADBPJ010000010.1	cds	22402	22827	+	BBJOLO_00099		Large ribosomal subunit protein uL11	SO:0001217, UniRef:UniRef50_P10055
CADBPJ010000010.1	cds	22892	23584	+	BBJOLO_00100		Large ribosomal subunit protein uL1	SO:0001217, UniRef:UniRef50_P29393
CADBPJ010000010.1	ncRNA-region	23745	23876	+			Ribosomal protein L10 leader	RFAM:RF00557, SO:0000140
CADBPJ010000010.1	cds	23825	24568	+	BBJOLO_00101		hypothetical protein	
CADBPJ010000010.1	cds	24612	24983	+	BBJOLO_00102		Large ribosomal subunit protein bL12	SO:0001217, UniRef:UniRef50_Q0VSM3
CADBPJ010000010.1	cds	25028	25540	+	BBJOLO_00103		hypothetical protein	
CADBPJ010000010.1	cds	25592	25771	+	BBJOLO_00104		hypothetical protein	
CADBPJ010000010.1	cds	26012	26851	+	BBJOLO_00105		Nucleotidyl transferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3D1HVP0
CADBPJ010000010.1	cds	26848	27921	+	BBJOLO_00106		Aminoglycoside phosphotransferase family protein	SO:0001217, UniRef:UniRef50_A0A928NIE6
CADBPJ010000010.1	cds	27936	29531	+	BBJOLO_00107		hypothetical protein	PFAM:PF01182.26
CADBPJ010000010.1	cds	29528	30589	+	BBJOLO_00108		N-acetylglucosamine-6-phosphate deacetylase	SO:0001217, UniRef:UniRef50_A0A939ZBX6
CADBPJ010000010.1	cds	30579	30797	-	BBJOLO_00109		hypothetical protein	
CADBPJ010000010.1	cds	31002	31712	+	BBJOLO_00110		Phosphoribosylaminoimidazole-succinocarboxamide synthase	SO:0001217, UniRef:UniRef50_Q8KDT4
CADBPJ010000010.1	cds	31783	33213	+	BBJOLO_00111		Adenylosuccinate lyase	SO:0001217, UniRef:UniRef50_J6H1E2
CADBPJ010000010.1	cds	33238	34512	+	BBJOLO_00112		Adenylosuccinate synthetase	SO:0001217, UniRef:UniRef50_V2YFN8
CADBPJ010000010.1	cds	34641	36080	-	BBJOLO_00113	trkH	TrkH family potassium uptake protein	SO:0001217, UniRef:UniRef50_F3AYR4
CADBPJ010000010.1	cds	36117	37541	-	BBJOLO_00114	trkA	Trk system potassium uptake protein TrkA	SO:0001217, UniRef:UniRef50_A0A939R9J3
CADBPJ010000010.1	cds	37504	39834	-	BBJOLO_00115	clpC	ATP-dependent Clp protease ATP-binding subunit ClpC	SO:0001217, UniRef:UniRef50_L7VUV5
CADBPJ010000010.1	cds	40107	40946	+	BBJOLO_00116		3-methyl-2-oxobutanoate hydroxymethyltransferase	SO:0001217, UniRef:UniRef50_Q8DM44
CADBPJ010000010.1	cds	40943	41794	+	BBJOLO_00117		Pantothenate synthetase	SO:0001217, UniRef:UniRef50_E0E1N0
CADBPJ010000010.1	cds	41791	42180	+	BBJOLO_00118		Aspartate 1-decarboxylase	SO:0001217, UniRef:UniRef50_Q9PIK3
CADBPJ010000011.1	cds	379	576	+	BBJOLO_00119		hypothetical protein	
CADBPJ010000011.1	cds	663	875	-	BBJOLO_00120		hypothetical protein	PFAM:PF00037.32, PFAM:PF12797.12, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13237.11, PFAM:PF13459.11, PFAM:PF14697.11
CADBPJ010000011.1	cds	875	1528	-	BBJOLO_00121		hypothetical protein	
CADBPJ010000011.1	cds	1691	2299	+	BBJOLO_00122		hypothetical protein	PFAM:PF08876.17
CADBPJ010000011.1	cds	2522	3868	-	BBJOLO_00123		hypothetical protein	PFAM:PF20047.4
CADBPJ010000012.1	cds	8	1081	+	BBJOLO_00124		hypothetical protein	
CADBPJ010000012.1	cds	1144	2247	+	BBJOLO_00125		hypothetical protein	PFAM:PF00465.25, PFAM:PF25137.1
CADBPJ010000012.1	tRNA	2344	2432	+	BBJOLO_00126	trnS	tRNA-Ser(tga)	SO:0000269
CADBPJ010000013.1	cds	701	910	-	BBJOLO_00127		DUF378 domain-containing protein	SO:0001217, UniRef:UniRef50_A3DH52
CADBPJ010000013.1	cds	1027	1440	+	BBJOLO_00128		hypothetical protein	
CADBPJ010000013.1	cds	1492	2019	+	BBJOLO_00129	carD	CarD family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A373QA86
CADBPJ010000013.1	cds	2249	2926	+	BBJOLO_00130		hypothetical protein	PFAM:PF12804.13
CADBPJ010000013.1	cds	2926	3393	+	BBJOLO_00131		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	SO:0001217, UniRef:UniRef50_Q5L8X2
CADBPJ010000013.1	cds	3411	4382	+	BBJOLO_00132		hypothetical protein	PFAM:PF04138.20
CADBPJ010000013.1	cds	4514	5257	-	BBJOLO_00133		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_K2EWR8
CADBPJ010000013.1	cds	5247	6632	-	BBJOLO_00134		hypothetical protein	
CADBPJ010000013.1	cds	6700	7476	-	BBJOLO_00135		hypothetical protein	PFAM:PF00497.25, PFAM:PF10613.14
CADBPJ010000013.1	cds	7604	9091	-	BBJOLO_00136		4Fe-4S dicluster domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6N8I1Z9
CADBPJ010000013.1	cds	9444	11384	-	BBJOLO_00137		Methionine--tRNA ligase	SO:0001217, UniRef:UniRef50_A0A926DII5
CADBPJ010000013.1	cds	11530	12702	-	BBJOLO_00138		hypothetical protein	
CADBPJ010000013.1	cds	12725	13906	-	BBJOLO_00139		Putative homoserine kinase	SO:0001217, UniRef:UniRef50_A0A0L6JGM2
CADBPJ010000013.1	cds	13964	14473	-	BBJOLO_00140		Putative tRNA (cytidine(34)-2'-O)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A1V4I846
CADBPJ010000013.1	cds	14796	16637	+	BBJOLO_00141	htpG	Molecular chaperone HtpG	SO:0001217, UniRef:UniRef50_A0A7C7D5L0
CADBPJ010000013.1	cds	16664	17479	+	BBJOLO_00142		SGNH hydrolase-type esterase domain-containing protein	SO:0001217, UniRef:UniRef50_R6U0I5
CADBPJ010000013.1	cds	17551	18741	-	BBJOLO_00143		hypothetical protein	PFAM:PF08239.17
CADBPJ010000013.1	cds	18992	20326	-	BBJOLO_00144		hypothetical protein	PFAM:PF17125.10, PFAM:PF17126.11
CADBPJ010000013.1	ncRNA-region	20480	20558	+			(3' truncated) Lysine riboswitch aptamer	RFAM:RF00168, SO:0000035
CADBPJ010000014.1	cds	646	1146	-	BBJOLO_00145		N5-carboxyaminoimidazole ribonucleotide mutase	SO:0001217, UniRef:UniRef50_A0A7G8TFS2
CADBPJ010000014.1	cds	1276	2091	-	BBJOLO_00146		hypothetical protein	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000014.1	cds	2226	2747	+	BBJOLO_00147		hypothetical protein	
CADBPJ010000014.1	cds	2734	3978	+	BBJOLO_00148		Glycosyl hydrolase family 32 N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q3YX16
CADBPJ010000014.1	cds	4305	4919	-	BBJOLO_00149		hypothetical protein	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000015.1	cds	23	1438	+	BBJOLO_00150		Anaerobic ribonucleoside-triphosphate reductase	SO:0001217, UniRef:UniRef50_A0A9D9KXC9
CADBPJ010000015.1	cds	1454	1975	+	BBJOLO_00151		Anaerobic ribonucleoside-triphosphate reductase-activating protein	SO:0001217, UniRef:UniRef50_A0A926F8L7
CADBPJ010000015.1	cds	2065	3072	+	BBJOLO_00152		Stage V sporulation protein AD	SO:0001217, UniRef:UniRef50_A0A1C6BP49
CADBPJ010000015.1	cds	3087	3443	+	BBJOLO_00153		Stage V sporulation protein AE	SO:0001217, UniRef:UniRef50_F7JRI2
CADBPJ010000015.1	cds	3521	6046	+	BBJOLO_00154		Glycerol dehydratase	SO:0001217, UniRef:UniRef50_A0A090ZI26
CADBPJ010000015.1	cds	6063	6848	+	BBJOLO_00155		4-hydroxyphenylacetate decarboxylase activating enzyme	SO:0001217, UniRef:UniRef50_A0A2A7MI63
CADBPJ010000015.1	cds	6963	7697	-	BBJOLO_00156		hypothetical protein	PFAM:PF21778.2
CADBPJ010000015.1	cds	7744	8535	-	BBJOLO_00157		hypothetical protein	PFAM:PF00533.33, PFAM:PF00633.29, PFAM:PF03119.21, PFAM:PF12738.14, PFAM:PF12826.13, PFAM:PF14520.12
CADBPJ010000016.1	cds	78	1370	-	BBJOLO_00158	albF	Putative zinc protease AlbF	SO:0001217, UniRef:UniRef50_A0A1V4SSL8
CADBPJ010000016.1	cds	1363	2637	-	BBJOLO_00159		hypothetical protein	PFAM:PF05193.26
CADBPJ010000016.1	cds	2647	3495	-	BBJOLO_00160		hypothetical protein	
CADBPJ010000016.1	cds	3552	4853	-	BBJOLO_00161		Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	SO:0001217, UniRef:UniRef50_A0A355TX44
CADBPJ010000016.1	cds	4850	5686	-	BBJOLO_00162		hypothetical protein	PFAM:PF01396.24
CADBPJ010000017.1	cds	405	746	+	BBJOLO_00163		hypothetical protein	
CADBPJ010000017.1	cds	1314	1580	+	BBJOLO_00164		hypothetical protein	
CADBPJ010000017.1	cds	2261	3535	-	BBJOLO_00165		Transcription termination factor Rho	SO:0001217, UniRef:UniRef50_A0A0B4S311
CADBPJ010000017.1	cds	3548	4324	-	BBJOLO_00166		hypothetical protein	
CADBPJ010000017.1	cds	4321	4989	-	BBJOLO_00167		hypothetical protein	PFAM:PF12847.13
CADBPJ010000017.1	cds	5354	6058	-	BBJOLO_00168		3-oxoacyl-ACP reductase	SO:0001217, UniRef:UniRef50_A0A3B8V5S8
CADBPJ010000018.1	cds	43	423	+	BBJOLO_00169		hypothetical protein	
CADBPJ010000018.1	cds	425	781	+	BBJOLO_00170		hypothetical protein	PFAM:PF01939.22
CADBPJ010000018.1	cds	781	1638	+	BBJOLO_00171		hypothetical protein	PFAM:PF01244.27
CADBPJ010000018.1	cds	1642	2382	+	BBJOLO_00172		Ribosomal RNA small subunit methyltransferase E	SO:0001217, UniRef:UniRef50_A0A1C5T7K9
CADBPJ010000019.1	cds	288	686	+	BBJOLO_00173		hypothetical protein	PFAM:PF12158.14
CADBPJ010000019.1	cds	679	1083	+	BBJOLO_00174		hypothetical protein	PFAM:PF12158.14
CADBPJ010000019.1	cds	1442	2395	-	BBJOLO_00175		hypothetical protein	PFAM:PF07508.19, PFAM:PF13408.12
CADBPJ010000020.1	cds	91	756	+	BBJOLO_00176		hypothetical protein	
CADBPJ010000020.1	cds	1392	1670	+	BBJOLO_00177		hypothetical protein	
CADBPJ010000020.1	cds	1660	1902	+	BBJOLO_00178		hypothetical protein	
CADBPJ010000020.1	cds	1965	2234	+	BBJOLO_00179		hypothetical protein	
CADBPJ010000020.1	cds	2227	2370	+	BBJOLO_00180		hypothetical protein	
CADBPJ010000021.1	cds	532	2385	-	BBJOLO_00181		hypothetical protein	PFAM:PF13507.12
CADBPJ010000022.1	cds	338	1783	-	BBJOLO_00182		hypothetical protein	
CADBPJ010000022.1	cds	1886	2680	-	BBJOLO_00183		Sugar ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A0Q9TXL8
CADBPJ010000022.1	cds	2779	3726	-	BBJOLO_00184		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0J1J3T4
CADBPJ010000022.1	cds	3730	5448	-	BBJOLO_00185		hypothetical protein	PFAM:PF02518.31, PFAM:PF06580.19
CADBPJ010000022.1	cds	5471	8467	-	BBJOLO_00186		hypothetical protein	PFAM:PF05048.19, PFAM:PF13229.12
CADBPJ010000022.1	cds	8533	11181	-	BBJOLO_00187		hypothetical protein	PFAM:PF07602.17
CADBPJ010000022.1	cds	11249	12331	-	BBJOLO_00188		hypothetical protein	
CADBPJ010000023.1	rRNA	1	76	+	BBJOLO_00189	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
CADBPJ010000023.1	tRNA	91	165	+	BBJOLO_00190	trnE	tRNA-Glu(ttc)	SO:0000259
CADBPJ010000023.1	tRNA	203	279	+	BBJOLO_00191	trnI	tRNA-Ile2(cat)	SO:0000263
CADBPJ010000023.1	cds	413	1210	-	BBJOLO_00192		hypothetical protein	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000023.1	cds	1365	2369	+	BBJOLO_00193		hypothetical protein	
CADBPJ010000023.1	cds	2790	4442	+	BBJOLO_00194		hypothetical protein	PFAM:PF13320.12
CADBPJ010000024.1	cds	135	296	+	BBJOLO_00195		hypothetical protein	PFAM:PF00535.33
CADBPJ010000024.1	cds	297	1175	+	BBJOLO_00196		hypothetical protein	PFAM:PF18404.7
CADBPJ010000024.1	cds	1222	2247	+	BBJOLO_00197		hypothetical protein	PFAM:PF00535.33, PFAM:PF13641.12
CADBPJ010000024.1	cds	2261	2923	+	BBJOLO_00198		Acylneuraminate cytidylyltransferase family protein	SO:0001217, UniRef:UniRef50_A0A9D1JAI1
CADBPJ010000025.1	cds	64	1014	+	BBJOLO_00199		Phosphoribosylaminoimidazolecarboxamide formyltransferase	SO:0001217, UniRef:UniRef50_A0A937UN28
CADBPJ010000025.1	cds	1034	2296	+	BBJOLO_00200		Phosphoribosylamine--glycine ligase	SO:0001217, UniRef:UniRef50_A0A4P9EG55
CADBPJ010000025.1	cds	2319	2792	+	BBJOLO_00201		dCMP deaminase	SO:0001217, UniRef:UniRef50_A0AAQ3HXU3
CADBPJ010000025.1	cds	2805	3344	+	BBJOLO_00202		ADP-ribose pyrophosphatase	SO:0001217, UniRef:UniRef50_A0A1C5NBF1
CADBPJ010000025.1	cds	3397	4539	+	BBJOLO_00203		hypothetical protein	PFAM:PF00395.25, PFAM:PF01832.25
CADBPJ010000025.1	cds	4546	5481	+	BBJOLO_00204		hypothetical protein	
CADBPJ010000026.1	cds	1727	2536	-	BBJOLO_00205		hypothetical protein	
CADBPJ010000027.1	cds	373	942	-	BBJOLO_00206	pdxT	Pyridoxal 5'-phosphate synthase subunit PdxT	SO:0001217, UniRef:UniRef50_R7R0U5
CADBPJ010000027.1	cds	944	1819	-	BBJOLO_00207	pdxS	Pyridoxal 5'-phosphate synthase subunit PdxS	SO:0001217, UniRef:UniRef50_P37527
CADBPJ010000027.1	cds	1920	3020	+	BBJOLO_00208		HTH gntR-type domain-containing protein	SO:0001217, UniRef:UniRef50_G9WKA0
CADBPJ010000027.1	ncRNA-region	3057	3163	+			TPP riboswitch aptamer (THI element)	RFAM:RF00059, SO:0000035
CADBPJ010000027.1	cds	3242	3436	+	BBJOLO_00209	thiS	Thiamine biosynthesis protein ThiS	SO:0001217, UniRef:UniRef50_A0A078KQ21
