#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
CADBPJ010000011.1	663	875	-	BBJOLO_00120	7.7	8.0	PF00037.32|Fer4, PF12797.12|Fer4_2, PF12837.12|Fer4_6, PF12838.12|Fer4_7, PF13237.11|Fer4_10, PF13459.11|Fer4_15, PF14697.11|Fer4_21	PFAM:PF00037.32, PFAM:PF12797.12, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13237.11, PFAM:PF13459.11, PFAM:PF14697.11
CADBPJ010000011.1	875	1528	-	BBJOLO_00121	24.3	4.7		
CADBPJ010000011.1	1691	2299	+	BBJOLO_00122	22.8	5.0	PF08876.17|DUF1836	PFAM:PF08876.17
CADBPJ010000011.1	2522	3868	-	BBJOLO_00123	50.7	4.8	PF20047.4|DUF6449	PFAM:PF20047.4
CADBPJ010000012.1	8	1081	+	BBJOLO_00124	38.1	9.5		
CADBPJ010000012.1	1144	2247	+	BBJOLO_00125	40.3	5.3	PF00465.25|Fe-ADH, PF25137.1|ADH_Fe_C	PFAM:PF00465.25, PFAM:PF25137.1
CADBPJ010000013.1	1027	1440	+	BBJOLO_00128	15.2	5.3		
CADBPJ010000013.1	2249	2926	+	BBJOLO_00130	24.6	6.4	PF12804.13|NTP_transf_3	PFAM:PF12804.13
CADBPJ010000013.1	3411	4382	+	BBJOLO_00132	37.5	8.9	PF04138.20|GtrA_DPMS_TM	PFAM:PF04138.20
CADBPJ010000013.1	5247	6632	-	BBJOLO_00134	51.4	8.9		
CADBPJ010000013.1	6700	7476	-	BBJOLO_00135	27.4	4.2	PF00497.25|SBP_bac_3, PF10613.14|Lig_chan-Glu_bd	PFAM:PF00497.25, PFAM:PF10613.14
CADBPJ010000013.1	11530	12702	-	BBJOLO_00138	43.9	9.8		
CADBPJ010000013.1	17551	18741	-	BBJOLO_00143	42.7	5.9	PF08239.17|SH3_3	PFAM:PF08239.17
CADBPJ010000013.1	18992	20326	-	BBJOLO_00144	50.4	6.4	PF17125.10|Methyltr_RsmF_N, PF17126.11|RsmF_methylt_CI	PFAM:PF17125.10, PFAM:PF17126.11
CADBPJ010000014.1	1276	2091	-	BBJOLO_00146	31.2	8.8	PF00165.29|HTH_AraC, PF02311.25|AraC_binding, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000014.1	2226	2747	+	BBJOLO_00147	19.6	9.7		
CADBPJ010000014.1	4305	4919	-	BBJOLO_00149	23.6	6.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000015.1	6963	7697	-	BBJOLO_00156	27.2	6.4	PF21778.2|DUF6873	PFAM:PF21778.2
CADBPJ010000015.1	7744	8535	-	BBJOLO_00157	29.0	5.6	PF00533.33|BRCT, PF00633.29|HHH, PF03119.21|DNA_ligase_ZBD, PF12738.14|PTCB-BRCT, PF12826.13|HHH_2, PF14520.12|HHH_5	PFAM:PF00533.33, PFAM:PF00633.29, PFAM:PF03119.21, PFAM:PF12738.14, PFAM:PF12826.13, PFAM:PF14520.12
CADBPJ010000016.1	1363	2637	-	BBJOLO_00159	47.7	5.2	PF05193.26|Peptidase_M16_C	PFAM:PF05193.26
CADBPJ010000016.1	2647	3495	-	BBJOLO_00160	30.1	4.9		
CADBPJ010000016.1	4850	5686	-	BBJOLO_00162	31.6	8.8	PF01396.24|Zn_ribbon_Top1	PFAM:PF01396.24
CADBPJ010000017.1	405	746	+	BBJOLO_00163	11.8	9.7		
CADBPJ010000017.1	1314	1580	+	BBJOLO_00164	8.7	6.5		
CADBPJ010000017.1	3548	4324	-	BBJOLO_00166	28.6	5.0		
CADBPJ010000017.1	4321	4989	-	BBJOLO_00167	25.5	5.2	PF12847.13|Methyltransf_18	PFAM:PF12847.13
CADBPJ010000018.1	43	423	+	BBJOLO_00169	14.0	8.9		
CADBPJ010000018.1	425	781	+	BBJOLO_00170	13.7	5.3	PF01939.22|NucS_C	PFAM:PF01939.22
CADBPJ010000018.1	781	1638	+	BBJOLO_00171	32.1	4.8	PF01244.27|Peptidase_M19	PFAM:PF01244.27
CADBPJ010000019.1	288	686	+	BBJOLO_00173	14.3	9.1	PF12158.14|DUF3592	PFAM:PF12158.14
CADBPJ010000019.1	679	1083	+	BBJOLO_00174	15.4	9.2	PF12158.14|DUF3592	PFAM:PF12158.14
CADBPJ010000019.1	1442	2395	-	BBJOLO_00175	36.9	5.5	PF07508.19|Recombinase, PF13408.12|Zn_ribbon_recom	PFAM:PF07508.19, PFAM:PF13408.12
CADBPJ010000020.1	91	756	+	BBJOLO_00176	25.2	5.2		
CADBPJ010000020.1	1392	1670	+	BBJOLO_00177	10.7	5.0		
CADBPJ010000020.1	1660	1902	+	BBJOLO_00178	9.9	5.4		
CADBPJ010000020.1	1965	2234	+	BBJOLO_00179	10.5	4.9		
CADBPJ010000020.1	2227	2370	+	BBJOLO_00180	5.4	4.6		
CADBPJ010000021.1	532	2385	-	BBJOLO_00181	66.9	5.5	PF13507.12|GATase_5	PFAM:PF13507.12
CADBPJ010000022.1	338	1783	-	BBJOLO_00182	54.9	4.7		
CADBPJ010000022.1	3730	5448	-	BBJOLO_00185	66.5	4.9	PF02518.31|HATPase_c, PF06580.19|His_kinase	PFAM:PF02518.31, PFAM:PF06580.19
CADBPJ010000022.1	5471	8467	-	BBJOLO_00186	110.9	4.5	PF05048.19|NosD, PF13229.12|Beta_helix	PFAM:PF05048.19, PFAM:PF13229.12
CADBPJ010000022.1	8533	11181	-	BBJOLO_00187	99.1	5.0	PF07602.17|DUF1565	PFAM:PF07602.17
CADBPJ010000022.1	11249	12331	-	BBJOLO_00188	38.5	4.9		
CADBPJ010000023.1	413	1210	-	BBJOLO_00192	31.0	6.4	PF00165.29|HTH_AraC, PF02311.25|AraC_binding, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000023.1	1365	2369	+	BBJOLO_00193	38.7	5.0		
CADBPJ010000023.1	2790	4442	+	BBJOLO_00194	64.3	5.0	PF13320.12|GH123_cat	PFAM:PF13320.12
CADBPJ010000024.1	135	296	+	BBJOLO_00195	6.2	6.1	PF00535.33|Glycos_transf_2	PFAM:PF00535.33
CADBPJ010000024.1	297	1175	+	BBJOLO_00196	34.8	8.6	PF18404.7|Glyco_transf_24	PFAM:PF18404.7
CADBPJ010000024.1	1222	2247	+	BBJOLO_00197	40.2	8.7	PF00535.33|Glycos_transf_2, PF13641.12|Glyco_tranf_2_3	PFAM:PF00535.33, PFAM:PF13641.12
CADBPJ010000025.1	3397	4539	+	BBJOLO_00203	42.5	4.9	PF00395.25|SLH, PF01832.25|Glucosaminidase	PFAM:PF00395.25, PFAM:PF01832.25
CADBPJ010000025.1	4546	5481	+	BBJOLO_00204	34.5	9.1		
CADBPJ010000026.1	1727	2536	-	BBJOLO_00205	30.4	9.8		
CADBPJ010000028.1	2836	3618	-	BBJOLO_00220	31.0	8.9	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000028.1	5874	6815	+	BBJOLO_00222	35.2	5.2	PF02126.24|PTE	PFAM:PF02126.24
CADBPJ010000028.1	6790	8127	+	BBJOLO_00223	49.5	5.1		
CADBPJ010000028.1	8275	9423	+	BBJOLO_00224	43.4	5.2	PF00149.33|Metallophos, PF09587.15|PGA_cap	PFAM:PF00149.33, PFAM:PF09587.15
CADBPJ010000029.1	11547	11915	+	BBJOLO_00246	12.6	9.4		
CADBPJ010000029.1	13236	14084	-	BBJOLO_00248	32.8	6.4	PF00165.29|HTH_AraC, PF02311.25|AraC_binding, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000029.1	14233	15099	+	BBJOLO_00249	31.4	9.5	PF00892.27|EamA	PFAM:PF00892.27
CADBPJ010000029.1	20047	20850	-	BBJOLO_00254	29.2	9.8	PF12833.13|HTH_18	PFAM:PF12833.13
CADBPJ010000029.1	20906	21751	-	BBJOLO_00255	33.1	8.7	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000029.1	23306	25423	+	BBJOLO_00257	80.3	4.8		
CADBPJ010000029.1	27754	28827	-	BBJOLO_00259	41.9	5.2		
CADBPJ010000029.1	29777	30472	-	BBJOLO_00261	26.6	5.1		
CADBPJ010000029.1	31723	32013	+	BBJOLO_00264	11.1	5.2	PF01381.28|HTH_3	PFAM:PF01381.28
CADBPJ010000029.1	37437	37922	-	BBJOLO_00267	18.5	6.3	PF03432.20|Relaxase	PFAM:PF03432.20
CADBPJ010000029.1	37904	38176	-	BBJOLO_00268	10.6	9.3		
CADBPJ010000029.1	38429	38719	+	BBJOLO_00269	11.4	6.1	PF06124.16|DUF960	PFAM:PF06124.16
CADBPJ010000030.1	527	2593	-	BBJOLO_00271	76.2	8.2		
CADBPJ010000030.1	2625	3107	-	BBJOLO_00272	18.7	5.1		
CADBPJ010000030.1	3094	4056	-	BBJOLO_00273	36.3	5.0	PF10646.14|Germane	PFAM:PF10646.14
CADBPJ010000030.1	4053	5549	-	BBJOLO_00274	55.2	4.8	PF00512.31|HisKA, PF00672.30|HAMP, PF02518.31|HATPase_c	PFAM:PF00512.31, PFAM:PF00672.30, PFAM:PF02518.31
CADBPJ010000030.1	6411	7928	+	BBJOLO_00276	56.4	6.4	PF00768.25|Peptidase_S11, PF07943.18|PBP5_C, PF13354.11|Beta-lactamase2	PFAM:PF00768.25, PFAM:PF07943.18, PFAM:PF13354.11
CADBPJ010000030.1	9803	10876	-	BBJOLO_00280	39.9	5.0	PF00710.25|Asparaginase	PFAM:PF00710.25
CADBPJ010000030.1	13472	14200	-	BBJOLO_00283	26.9	5.0	PF03989.18|DNA_gyraseA_C	PFAM:PF03989.18
CADBPJ010000031.1	938	2113	-	BBJOLO_00284	44.6	4.7	PF16822.11|ALGX	PFAM:PF16822.11
CADBPJ010000031.1	2126	3526	-	BBJOLO_00285	52.5	9.4		
CADBPJ010000031.1	7475	8731	+	BBJOLO_00289	46.6	4.2	PF07833.16|Cu_amine_oxidN1	PFAM:PF07833.16
CADBPJ010000031.1	8876	9742	+	BBJOLO_00290	33.8	6.4	PF00165.29|HTH_AraC, PF02311.25|AraC_binding, PF07883.17|Cupin_2, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF07883.17, PFAM:PF12833.13
CADBPJ010000031.1	11418	12470	-	BBJOLO_00292	40.8	4.4		
CADBPJ010000031.1	12492	13205	-	BBJOLO_00293	26.9	9.0	PF03054.22|tRNA_Me_trans	PFAM:PF03054.22
CADBPJ010000032.1	69	548	+	BBJOLO_00294	17.4	9.5		
CADBPJ010000032.1	1066	1707	-	BBJOLO_00295	23.9	6.1		
CADBPJ010000032.1	4298	4891	-	BBJOLO_00298	21.4	4.7	PF00348.22|polyprenyl_synt	PFAM:PF00348.22
CADBPJ010000033.1	123	659	-	BBJOLO_00299	19.7	4.6		
CADBPJ010000033.1	749	1111	-	BBJOLO_00300	13.1	4.5		
CADBPJ010000033.1	1131	1538	-	BBJOLO_00301	14.9	5.5		
CADBPJ010000033.1	1762	2820	-	BBJOLO_00302	37.3	6.3		
CADBPJ010000033.1	2817	3212	-	BBJOLO_00303	13.7	7.6		
CADBPJ010000033.1	3418	3909	-	BBJOLO_00305	18.4	8.3		
CADBPJ010000033.1	3903	4826	-	BBJOLO_00306	33.9	8.1	PF00004.35|AAA, PF00437.27|T2SSE, PF03266.21|NTPase_1	PFAM:PF00004.35, PFAM:PF00437.27, PFAM:PF03266.21
CADBPJ010000034.1	1753	3198	-	BBJOLO_00308	52.9	4.7	PF00595.29|PDZ, PF01471.23|PG_binding_1, PF17820.7|PDZ_6	PFAM:PF00595.29, PFAM:PF01471.23, PFAM:PF17820.7
CADBPJ010000034.1	3204	3599	-	BBJOLO_00309	15.1	4.9	PF09148.16|DUF1934	PFAM:PF09148.16
CADBPJ010000034.1	6462	6935	-	BBJOLO_00313	17.8	7.8		
CADBPJ010000034.1	6946	8025	-	BBJOLO_00314	39.6	5.3	PF00465.25|Fe-ADH, PF01761.26|DHQ_synthase, PF24621.2|DHQS_C	PFAM:PF00465.25, PFAM:PF01761.26, PFAM:PF24621.2
CADBPJ010000034.1	9053	9484	-	BBJOLO_00316	16.6	5.6	PF13302.13|Acetyltransf_3, PF13508.13|Acetyltransf_7, PF13527.13|Acetyltransf_9, PF13673.13|Acetyltransf_10	PFAM:PF13302.13, PFAM:PF13508.13, PFAM:PF13527.13, PFAM:PF13673.13
CADBPJ010000034.1	9459	9920	-	BBJOLO_00317	16.8	4.3	PF01451.26|LMWPc	PFAM:PF01451.26
CADBPJ010000034.1	12551	14614	-	BBJOLO_00320	78.9	6.9	PF19789.6|DUF6273	PFAM:PF19789.6
CADBPJ010000034.1	14707	15132	-	BBJOLO_00321	16.1	8.7	PF00575.29|S1	PFAM:PF00575.29
CADBPJ010000034.1	15151	15465	-	BBJOLO_00322	11.9	5.4	PF04977.20|DivIC	PFAM:PF04977.20
CADBPJ010000034.1	15446	15871	-	BBJOLO_00323	16.0	9.4		
CADBPJ010000034.1	15868	16143	-	BBJOLO_00324	9.9	8.6		
CADBPJ010000034.1	19529	20209	-	BBJOLO_00330	25.9	6.5	PF00326.27|Peptidase_S9, PF01738.24|DLH, PF02230.22|Abhydrolase_2, PF12146.15|Hydrolase_4	PFAM:PF00326.27, PFAM:PF01738.24, PFAM:PF02230.22, PFAM:PF12146.15
CADBPJ010000034.1	20992	22296	-	BBJOLO_00332	51.0	5.2	PF00331.26|Glyco_hydro_10	PFAM:PF00331.26
CADBPJ010000034.1	23878	24717	+	BBJOLO_00334	32.5	8.4	PF00165.29|HTH_AraC, PF02311.25|AraC_binding, PF07883.17|Cupin_2, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF07883.17, PFAM:PF12833.13
CADBPJ010000034.1	25510	26814	-	BBJOLO_00336	45.3	9.4		
CADBPJ010000034.1	28844	29404	+	BBJOLO_00339	21.9	5.8	PF00440.29|TetR_N, PF14278.11|TetR_C_8	PFAM:PF00440.29, PFAM:PF14278.11
CADBPJ010000034.1	31966	35349	+	BBJOLO_00341	122.8	4.5	PF23153.1|Aip3p_Bud6_N	PFAM:PF23153.1
CADBPJ010000035.1	17	391	+	BBJOLO_00343	13.9	5.0	PF06968.18|BATS	PFAM:PF06968.18
CADBPJ010000035.1	3765	3911	+	BBJOLO_00348	5.5	5.5		
CADBPJ010000036.1	4162	5007	+	BBJOLO_00353	30.6	5.3	PF00753.33|Lactamase_B, PF12706.13|Lactamase_B_2	PFAM:PF00753.33, PFAM:PF12706.13
CADBPJ010000036.1	5004	5240	+	BBJOLO_00354	9.0	6.3		
CADBPJ010000036.1	5540	6748	+	BBJOLO_00355	45.3	4.8	PF03734.19|YkuD, PF07833.16|Cu_amine_oxidN1	PFAM:PF03734.19, PFAM:PF07833.16
CADBPJ010000036.1	6764	7615	+	BBJOLO_00356	31.2	9.3	PF00892.27|EamA	PFAM:PF00892.27
CADBPJ010000036.1	9698	10579	-	BBJOLO_00359	33.1	8.6	PF01479.30|S4	PFAM:PF01479.30
CADBPJ010000036.1	12616	13302	+	BBJOLO_00362	24.9	9.8	PF07670.19|Gate	PFAM:PF07670.19
CADBPJ010000036.1	15250	16056	+	BBJOLO_00365	30.7	5.4	PF01026.27|TatD_DNase, PF04909.20|Amidohydro_2	PFAM:PF01026.27, PFAM:PF04909.20
CADBPJ010000036.1	19699	19977	-	BBJOLO_00369	10.6	4.3		
CADBPJ010000036.1	20137	20550	-	BBJOLO_00370	16.6	8.7		
CADBPJ010000037.1	1492	1872	-	BBJOLO_00377	12.3	4.6	PF00364.28|Biotin_lipoyl, PF01597.25|GCV_H, PF13533.12|Biotin_lipoyl_2	PFAM:PF00364.28, PFAM:PF01597.25, PFAM:PF13533.12
CADBPJ010000037.1	1897	2292	-	BBJOLO_00378	14.4	5.0		
CADBPJ010000037.1	8292	9119	-	BBJOLO_00384	31.1	4.6	PF01261.30|AP_endonuc_2	PFAM:PF01261.30
CADBPJ010000037.1	10433	11314	+	BBJOLO_00386	33.9	6.8	PF00165.29|HTH_AraC, PF02311.25|AraC_binding, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000037.1	11307	12182	+	BBJOLO_00387	32.9	6.1	PF00248.27|Aldo_ket_red	PFAM:PF00248.27
CADBPJ010000037.1	14530	14970	-	BBJOLO_00389	15.8	4.9		
CADBPJ010000037.1	14984	15829	-	BBJOLO_00390	31.5	4.3	PF05175.20|MTS, PF07669.17|Eco57I, PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13649.12|Methyltransf_25, PF13847.12|Methyltransf_31, PF17827.6|PrmC_N	PFAM:PF05175.20, PFAM:PF07669.17, PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13649.12, PFAM:PF13847.12, PFAM:PF17827.6
CADBPJ010000037.1	16837	17418	-	BBJOLO_00392	21.1	7.5	PF00226.36|DnaJ	PFAM:PF00226.36
CADBPJ010000037.1	17405	18262	-	BBJOLO_00393	32.1	8.6		
CADBPJ010000037.1	19166	19660	-	BBJOLO_00395	19.4	4.5		
CADBPJ010000037.1	19657	19833	-	BBJOLO_00396	7.0	5.2		
CADBPJ010000038.1	956	1795	+	BBJOLO_00397	31.6	8.1	PF00165.29|HTH_AraC, PF12833.13|HTH_18, PF13412.12|HTH_24	PFAM:PF00165.29, PFAM:PF12833.13, PFAM:PF13412.12
CADBPJ010000038.1	1918	3384	-	BBJOLO_00398	56.1	4.8	PF17389.8|Bac_rhamnosid6H, PF21104.3|Glyco_hydro_78_N	PFAM:PF17389.8, PFAM:PF21104.3
CADBPJ010000039.1	64	2169	+	BBJOLO_00399	79.2	5.2	PF01367.25|5_3_exonuc, PF22619.2|DNA_polI_exo1	PFAM:PF01367.25, PFAM:PF22619.2
CADBPJ010000040.1	1472	1651	-	BBJOLO_00400	6.6	4.8		
CADBPJ010000040.1	1666	2040	-	BBJOLO_00401	15.2	9.1		
CADBPJ010000041.1	229	660	+	BBJOLO_00402	16.3	7.8	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000041.1	864	5750	+	BBJOLO_00403	177.5	4.4	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000041.1	5782	8499	+	BBJOLO_00404	101.4	4.8		
CADBPJ010000042.1	16	378	+	BBJOLO_00405	13.1	4.2		
CADBPJ010000042.1	417	893	+	BBJOLO_00406	17.7	9.0		
CADBPJ010000042.1	883	1620	+	BBJOLO_00407	28.6	6.8	PF19567.5|CpsB_CapC	PFAM:PF19567.5
CADBPJ010000042.1	3674	3844	+	BBJOLO_00409	6.6	7.8		
CADBPJ010000042.1	3822	3998	+	BBJOLO_00410	7.0	9.3		
CADBPJ010000042.1	5222	5911	+	BBJOLO_00412	26.8	5.8	PF00149.33|Metallophos	PFAM:PF00149.33
CADBPJ010000042.1	6187	6762	-	BBJOLO_00413	21.4	5.1	PF00128.31|Alpha-amylase	PFAM:PF00128.31
CADBPJ010000043.1	426	1334	+	BBJOLO_00414	34.2	4.8		
CADBPJ010000043.1	3402	3935	+	BBJOLO_00416	21.2	5.7	PF00440.29|TetR_N, PF14278.11|TetR_C_8	PFAM:PF00440.29, PFAM:PF14278.11
CADBPJ010000043.1	6097	8604	+	BBJOLO_00419	95.4	4.8	PF04685.19|DUF608	PFAM:PF04685.19
CADBPJ010000043.1	8601	9503	+	BBJOLO_00420	33.9	8.0	PF00356.27|LacI, PF00532.27|Peripla_BP_1	PFAM:PF00356.27, PFAM:PF00532.27
CADBPJ010000043.1	13359	14963	-	BBJOLO_00424	59.1	4.6	PF18975.6|DUF5711	PFAM:PF18975.6
