# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
CACVWD010000001.1	cds	20304	21371	-	BMNMOC_00023	-	-	-	-	-	-
CACVWD010000001.1	cds	21375	23399	-	BMNMOC_00024	906.0	0.0	1.0	1.001	0.672	UniRef:UniRef50_Q67T57
CACVWD010000001.1	cds	23399	23683	-	BMNMOC_00025	-	-	-	-	-	-
CACVWD010000001.1	cds	23697	24407	-	BMNMOC_00026	280.0	1.0e-93	0.987	0.903	0.597	UniRef:UniRef50_A0A7U9RS35
CACVWD010000001.1	cds	24427	26130	-	BMNMOC_00027	622.0	2.1e-218	1.023	0.998	0.578	UniRef:UniRef50_A0A940BZV2
CACVWD010000001.1	cds	26127	27434	-	BMNMOC_00028	353.0	1.5e-116	0.952	0.908	0.505	UniRef:UniRef50_A0A316QMB7
CACVWD010000001.1	cds	27419	28279	-	BMNMOC_00029	365.0	3.1e-125	1.052	0.883	0.608	UniRef:UniRef50_C0C677
CACVWD010000001.1	cds	28292	29572	-	BMNMOC_00030	432.0	6.4e-148	0.993	0.988	0.530	UniRef:UniRef50_A0A1V5XI46
CACVWD010000001.1	cds	29642	30490	-	BMNMOC_00031	-	-	-	-	-	-
CACVWD010000001.1	cds	30594	31115	+	BMNMOC_00032	-	-	-	-	-	-
CACVWD010000001.1	cds	31124	34375	+	BMNMOC_00033	-	-	-	-	-	-
CACVWD010000001.1	cds	34372	37653	+	BMNMOC_00034	-	-	-	-	-	-
CACVWD010000001.1	cds	37650	38930	+	BMNMOC_00035	-	-	-	-	-	-
CACVWD010000001.1	cds	38944	39738	+	BMNMOC_00036	-	-	-	-	-	-
CACVWD010000001.1	cds	39775	40362	-	BMNMOC_00037	-	-	-	-	-	-
CACVWD010000001.1	cds	40515	41894	+	BMNMOC_00038	560.0	2.4e-196	0.996	0.861	0.611	UniRef:UniRef50_A4FNR2
CACVWD010000001.1	cds	41917	43035	+	BMNMOC_00039	518.0	6.7e-183	0.989	0.854	0.682	UniRef:UniRef50_A0A1C5N0F2
CACVWD010000001.1	cds	43150	43863	+	BMNMOC_00040	272.0	1.1e-90	0.996	0.918	0.597	UniRef:UniRef50_A0A7C6XV77
CACVWD010000001.1	cds	43883	44134	+	BMNMOC_00041	99.0	4.7e-27	0.964	0.941	0.575	UniRef:UniRef50_D1PJ85
CACVWD010000001.1	cds	44282	45076	-	BMNMOC_00042	-	-	-	-	-	-
CACVWD010000001.1	cds	45127	46407	-	BMNMOC_00043	632.0	1.0e-226	0.991	0.981	0.727	UniRef:UniRef50_A0A2J8B9E2
CACVWD010000001.1	cds	46411	48099	-	BMNMOC_00044	570.0	1.5e-197	0.979	0.896	0.522	UniRef:UniRef50_A0A090YJJ4
CACVWD010000001.1	cds	48230	49105	-	BMNMOC_00045	-	-	-	-	-	-
CACVWD010000002.1	cds	32	424	+	BMNMOC_00046	-	-	-	-	-	-
CACVWD010000002.1	cds	648	3389	+	BMNMOC_00047	-	-	-	-	-	-
CACVWD010000002.1	cds	3550	4824	+	BMNMOC_00048	555.0	1.7e-196	1.021	0.986	0.624	UniRef:UniRef50_A0A7C6NTN8
CACVWD010000002.1	cds	4973	6340	+	BMNMOC_00049	548.0	3.3e-192	1.062	0.992	0.561	UniRef:UniRef50_A0A7X7B7K0
CACVWD010000002.1	cds	6337	6948	+	BMNMOC_00050	248.0	2.5e-82	0.916	0.882	0.624	UniRef:UniRef50_A0A1T4VM26
CACVWD010000002.1	cds	7059	8567	-	BMNMOC_00051	512.0	4.5e-177	0.996	0.969	0.514	UniRef:UniRef50_A0A520S5T5
CACVWD010000002.1	cds	9113	10579	+	BMNMOC_00052	-	-	-	-	-	-
CACVWD010000002.1	cds	10618	12684	+	BMNMOC_00053	756.0	2.8e-266	0.961	0.864	0.604	UniRef:UniRef50_Q1WTD1
CACVWD010000002.1	cds	12711	14021	+	BMNMOC_00054	692.0	2.8e-250	0.993	1.005	0.753	UniRef:UniRef50_R7MZQ9
CACVWD010000002.1	cds	14119	15303	+	BMNMOC_00055	-	-	-	-	-	-
CACVWD010000002.1	cds	15324	16067	+	BMNMOC_00056	350.0	3.4e-121	0.927	0.923	0.707	UniRef:UniRef50_A0A0F0CEI1
CACVWD010000002.1	cds	16092	17483	+	BMNMOC_00057	-	-	-	-	-	-
CACVWD010000002.1	cds	17480	18706	+	BMNMOC_00058	509.0	1.1e-178	0.998	0.974	0.619	UniRef:UniRef50_A0A0F0C939
CACVWD010000002.1	cds	18739	19818	+	BMNMOC_00059	-	-	-	-	-	-
CACVWD010000002.1	cds	19868	20977	+	BMNMOC_00060	-	-	-	-	-	-
CACVWD010000002.1	cds	21012	22097	+	BMNMOC_00061	442.0	1.1e-153	0.989	0.947	0.625	UniRef:UniRef50_A0AAW8CD21
CACVWD010000002.1	cds	22104	23072	+	BMNMOC_00062	-	-	-	-	-	-
CACVWD010000002.1	cds	23128	24744	+	BMNMOC_00063	-	-	-	-	-	-
CACVWD010000002.1	cds	24774	25775	+	BMNMOC_00064	-	-	-	-	-	-
CACVWD010000002.1	cds	25817	27181	+	BMNMOC_00065	616.0	5.3e-219	0.996	0.915	0.690	UniRef:UniRef50_A0A3D4QP60
CACVWD010000002.1	cds	27195	27485	+	BMNMOC_00066	121.0	1.1e-35	1.0	0.990	0.656	UniRef:UniRef50_A0A7V6NJD7
CACVWD010000002.1	cds	27574	28908	+	BMNMOC_00067	618.0	1.7e-220	1.002	0.972	0.699	UniRef:UniRef50_G5HH78
CACVWD010000002.1	cds	28886	29899	+	BMNMOC_00068	358.0	1.0e-121	0.935	0.960	0.540	UniRef:UniRef50_A0A088T3B9
CACVWD010000002.1	cds	29900	31030	+	BMNMOC_00069	448.0	1.9e-155	0.997	0.906	0.603	UniRef:UniRef50_A0A0F0C944
CACVWD010000002.1	cds	31108	32010	+	BMNMOC_00070	355.0	3.5e-121	0.973	0.907	0.582	UniRef:UniRef50_A0A1H9E331
CACVWD010000002.1	cds	32090	33238	+	BMNMOC_00071	574.0	6.1e-205	0.997	0.927	0.703	UniRef:UniRef50_E6UGJ0
CACVWD010000002.1	cds	33251	33763	+	BMNMOC_00072	192.0	2.9e-61	0.947	0.834	0.584	UniRef:UniRef50_A0A7X8VFY7
CACVWD010000002.1	cds	33750	34604	+	BMNMOC_00073	474.0	7.5e-169	0.982	0.886	0.824	UniRef:UniRef50_A0A1B1Q176
CACVWD010000002.1	cds	34696	35853	+	BMNMOC_00074	-	-	-	-	-	-
CACVWD010000002.1	cds	35987	37564	+	BMNMOC_00075	-	-	-	-	-	-
CACVWD010000002.1	cds	37858	38865	-	BMNMOC_00076	379.0	4.1e-129	1.006	0.855	0.567	UniRef:UniRef50_A0A173ZUP4
CACVWD010000003.1	cds	29	352	+	BMNMOC_00077	-	-	-	-	-	-
CACVWD010000003.1	cds	445	1935	-	BMNMOC_00078	-	-	-	-	-	-
CACVWD010000003.1	cds	2083	2937	-	BMNMOC_00079	-	-	-	-	-	-
CACVWD010000003.1	cds	2953	3993	-	BMNMOC_00080	362.0	1.9e-122	0.988	0.898	0.515	UniRef:UniRef50_F9D3W1
CACVWD010000003.1	cds	3980	4495	-	BMNMOC_00081	-	-	-	-	-	-
CACVWD010000003.1	cds	4492	4914	-	BMNMOC_00082	-	-	-	-	-	-
CACVWD010000003.1	cds	5056	5409	+	BMNMOC_00083	132.0	5.3e-39	0.974	0.809	0.596	UniRef:UniRef50_A0A6N2UEL9
CACVWD010000003.1	cds	5473	7563	+	BMNMOC_00084	598.0	1.2e-204	0.895	0.836	0.522	UniRef:UniRef50_A0A8J8MC43
CACVWD010000003.1	cds	7607	8557	+	BMNMOC_00085	-	-	-	-	-	-
CACVWD010000003.1	cds	8900	10426	+	BMNMOC_00086	456.0	1.2e-154	1.0	0.971	0.500	UniRef:UniRef50_S2LAC7
CACVWD010000003.1	cds	10415	11176	-	BMNMOC_00087	-	-	-	-	-	-
CACVWD010000003.1	cds	11384	11755	+	BMNMOC_00088	126.0	1.0e-36	1.0	1.008	0.561	UniRef:UniRef50_C8PKU8
CACVWD010000003.1	cds	11880	12425	+	BMNMOC_00089	-	-	-	-	-	-
CACVWD010000003.1	cds	12637	13314	+	BMNMOC_00090	-	-	-	-	-	-
CACVWD010000003.1	cds	13392	15152	-	BMNMOC_00091	786.0	7.9e-282	1.094	1.0	0.615	UniRef:UniRef50_A0A1Q6PXN1
CACVWD010000003.1	cds	15217	16209	-	BMNMOC_00092	410.0	1.5e-141	1.130	0.984	0.584	UniRef:UniRef50_A0A174NIE3
CACVWD010000003.1	cds	16206	17231	-	BMNMOC_00093	523.0	3.1e-186	0.944	0.877	0.811	UniRef:UniRef50_H1PKF4
CACVWD010000003.1	cds	17248	18321	-	BMNMOC_00094	404.0	1.5e-138	0.978	0.853	0.613	UniRef:UniRef50_C4ZGE3
CACVWD010000003.1	cds	18336	19265	-	BMNMOC_00095	303.0	2.5e-100	1.0	0.856	0.534	UniRef:UniRef50_F3B1S5
CACVWD010000003.1	cds	19503	20387	-	BMNMOC_00096	257.0	6.5e-83	1.048	0.948	0.506	UniRef:UniRef50_A0A1G6A9Z3
CACVWD010000003.1	cds	20403	21140	-	BMNMOC_00097	289.0	8.8e-97	0.918	0.812	0.609	UniRef:UniRef50_Q30PK5
CACVWD010000003.1	cds	21400	22338	+	BMNMOC_00098	351.0	2.0e-119	0.907	0.871	0.580	UniRef:UniRef50_A0A2K8ZYT1
CACVWD010000003.1	cds	22697	22981	-	BMNMOC_00099	-	-	-	-	-	-
CACVWD010000003.1	cds	23058	23471	-	BMNMOC_00100	147.0	1.2e-44	0.978	0.912	0.552	UniRef:UniRef50_A0A7C8KN67
CACVWD010000003.1	cds	23480	23731	-	BMNMOC_00101	93.6	9.6e-25	0.988	0.820	0.524	UniRef:UniRef50_A0A0U2W6N2
CACVWD010000003.1	cds	23854	24846	+	BMNMOC_00102	345.0	7.8e-117	1.006	0.985	0.509	UniRef:UniRef50_R7LND4
CACVWD010000003.1	cds	24942	26372	+	BMNMOC_00103	585.0	9.8e-207	0.926	0.923	0.701	UniRef:UniRef50_A0A317FYC2
CACVWD010000003.1	cds	26425	27756	-	BMNMOC_00104	506.0	7.1e-176	0.944	0.841	0.600	UniRef:UniRef50_B0JL96
CACVWD010000003.1	cds	27760	28344	-	BMNMOC_00105	251.0	9.1e-84	0.990	0.980	0.646	UniRef:UniRef50_A0A841T617
CACVWD010000003.1	cds	28388	29695	-	BMNMOC_00106	-	-	-	-	-	-
CACVWD010000003.1	cds	29940	30827	+	BMNMOC_00107	-	-	-	-	-	-
CACVWD010000004.1	cds	73	711	+	BMNMOC_00108	-	-	-	-	-	-
CACVWD010000004.1	cds	767	1192	+	BMNMOC_00109	-	-	-	-	-	-
CACVWD010000004.1	cds	1243	2454	-	BMNMOC_00110	421.0	3.6e-144	1.035	0.995	0.508	UniRef:UniRef50_D0JAV5
CACVWD010000004.1	cds	2519	4762	-	BMNMOC_00111	1029.0	0.0	1.033	0.833	0.672	UniRef:UniRef50_A0A1H8DGY9
CACVWD010000004.1	cds	5051	6031	+	BMNMOC_00112	-	-	-	-	-	-
CACVWD010000004.1	cds	5994	7307	+	BMNMOC_00113	-	-	-	-	-	-
CACVWD010000004.1	cds	7304	8206	+	BMNMOC_00114	-	-	-	-	-	-
CACVWD010000004.1	cds	8264	9733	-	BMNMOC_00115	-	-	-	-	-	-
CACVWD010000004.1	cds	9904	10410	-	BMNMOC_00116	-	-	-	-	-	-
CACVWD010000004.1	cds	10397	10759	-	BMNMOC_00117	-	-	-	-	-	-
CACVWD010000004.1	cds	10763	11083	-	BMNMOC_00118	-	-	-	-	-	-
CACVWD010000004.1	cds	11099	11899	-	BMNMOC_00119	325.0	3.0e-110	0.981	0.818	0.621	UniRef:UniRef50_S3AUI2
CACVWD010000004.1	cds	12176	12967	+	BMNMOC_00120	-	-	-	-	-	-
CACVWD010000004.1	cds	13590	14381	-	BMNMOC_00121	-	-	-	-	-	-
CACVWD010000004.1	tRNA	14710	14786	-	BMNMOC_00122	70.7	-	-	-	-	-
CACVWD010000004.1	cds	14873	15760	-	BMNMOC_00123	-	-	-	-	-	-
CACVWD010000004.1	cds	15945	17261	+	BMNMOC_00124	456.0	6.9e-157	1.050	1.013	0.528	UniRef:UniRef50_R5AJA3
CACVWD010000004.1	cds	17274	18587	+	BMNMOC_00125	422.0	1.5e-143	0.998	0.954	0.521	UniRef:UniRef50_W2BXY9
CACVWD010000004.1	cds	18666	19397	-	BMNMOC_00126	-	-	-	-	-	-
CACVWD010000004.1	cds	19513	21921	-	BMNMOC_00127	743.0	3.9e-258	1.005	0.962	0.522	UniRef:UniRef50_A0A971VBF9
CACVWD010000004.1	cds	21925	23877	-	BMNMOC_00128	708.0	2.2e-248	1.106	0.976	0.523	UniRef:UniRef50_G2TIE8
CACVWD010000004.1	cds	24083	25045	+	BMNMOC_00129	338.0	5.3e-114	0.966	0.925	0.553	UniRef:UniRef50_A0A844NVU0
CACVWD010000004.1	cds	25064	25579	+	BMNMOC_00130	-	-	-	-	-	-
CACVWD010000004.1	cds	25584	27872	+	BMNMOC_00131	-	-	-	-	-	-
CACVWD010000004.1	cds	27888	29321	+	BMNMOC_00132	474.0	1.1e-162	0.966	0.937	0.523	UniRef:UniRef50_A0A136WFR5
CACVWD010000004.1	cds	29325	30356	+	BMNMOC_00133	-	-	-	-	-	-
CACVWD010000004.1	cds	30372	31721	+	BMNMOC_00134	486.0	1.1e-167	1.0	0.879	0.575	UniRef:UniRef50_A0A0M2NQ05
CACVWD010000004.1	cds	31734	32894	+	BMNMOC_00135	437.0	1.5e-150	0.927	0.821	0.603	UniRef:UniRef50_A0A2V2EJ13
CACVWD010000004.1	cds	32934	34208	+	BMNMOC_00136	437.0	1.2e-149	0.979	0.930	0.537	UniRef:UniRef50_A0A0D8IC57
CACVWD010000004.1	cds	34227	35594	+	BMNMOC_00137	-	-	-	-	-	-
CACVWD010000004.1	cds	35660	37234	-	BMNMOC_00138	368.0	1.6e-119	0.920	0.853	0.537	UniRef:UniRef50_F3B1C5
CACVWD010000004.1	cds	37472	37960	+	BMNMOC_00139	-	-	-	-	-	-
CACVWD010000004.1	cds	38007	38444	+	BMNMOC_00140	-	-	-	-	-	-
CACVWD010000004.1	cds	38464	39102	+	BMNMOC_00141	-	-	-	-	-	-
CACVWD010000004.1	cds	39178	39348	-	BMNMOC_00142	59.3	5.0e-12	1.0	0.812	0.750	UniRef:UniRef50_P00195
CACVWD010000004.1	cds	39546	40364	+	BMNMOC_00143	-	-	-	-	-	-
CACVWD010000004.1	cds	40400	41386	-	BMNMOC_00144	-	-	-	-	-	-
CACVWD010000004.1	cds	41553	41840	+	BMNMOC_00145	-	-	-	-	-	-
CACVWD010000004.1	cds	41884	42303	+	BMNMOC_00146	169.0	3.6e-53	1.058	1.014	0.626	UniRef:UniRef50_A0A1V5KEV3
CACVWD010000004.1	cds	42325	42567	+	BMNMOC_00147	90.9	9.7e-24	1.087	0.879	0.552	UniRef:UniRef50_A0A084JD97
CACVWD010000004.1	cds	42668	43429	-	BMNMOC_00148	-	-	-	-	-	-
CACVWD010000004.1	cds	43506	45671	-	BMNMOC_00149	-	-	-	-	-	-
CACVWD010000004.1	cds	45712	47070	-	BMNMOC_00150	-	-	-	-	-	-
CACVWD010000004.1	cds	47080	48549	-	BMNMOC_00151	444.0	1.4e-149	0.953	0.815	0.515	UniRef:UniRef50_R9J4L6
CACVWD010000004.1	cds	48559	50046	-	BMNMOC_00152	-	-	-	-	-	-
CACVWD010000004.1	cds	50050	50436	-	BMNMOC_00153	139.0	1.5e-41	0.875	0.800	0.634	UniRef:UniRef50_A0A1C6B8T9
CACVWD010000004.1	cds	50436	51338	-	BMNMOC_00154	-	-	-	-	-	-
CACVWD010000004.1	cds	51316	51585	-	BMNMOC_00155	-	-	-	-	-	-
CACVWD010000004.1	cds	51572	51922	-	BMNMOC_00156	-	-	-	-	-	-
CACVWD010000004.1	cds	51915	52220	-	BMNMOC_00157	-	-	-	-	-	-
CACVWD010000004.1	cds	52222	52680	-	BMNMOC_00158	-	-	-	-	-	-
CACVWD010000004.1	cds	52759	53751	-	BMNMOC_00159	-	-	-	-	-	-
CACVWD010000004.1	cds	53993	54757	+	BMNMOC_00160	-	-	-	-	-	-
CACVWD010000004.1	cds	54779	56653	+	BMNMOC_00161	663.0	1.7e-232	1.008	0.965	0.542	UniRef:UniRef50_R9M8D6
CACVWD010000004.1	cds	56686	57843	+	BMNMOC_00162	350.0	9.7e-117	0.966	0.884	0.503	UniRef:UniRef50_A0A1C5WTB8
CACVWD010000005.1	cds	457	2325	-	BMNMOC_00163	881.0	0.0	1.026	1.0	0.693	UniRef:UniRef50_A0A9D1EB87
CACVWD010000005.1	cds	2381	3562	-	BMNMOC_00164	-	-	-	-	-	-
CACVWD010000005.1	cds	3559	4347	-	BMNMOC_00165	-	-	-	-	-	-
CACVWD010000005.1	cds	4376	5707	-	BMNMOC_00166	590.0	4.5e-209	0.986	0.892	0.627	UniRef:UniRef50_P10656
CACVWD010000005.1	cds	5704	7311	-	BMNMOC_00167	662.0	5.5e-234	0.985	0.867	0.626	UniRef:UniRef50_Q47QN2
CACVWD010000005.1	cds	8157	8297	-	BMNMOC_00168	-	-	-	-	-	-
CACVWD010000005.1	cds	8490	8663	-	BMNMOC_00169	-	-	-	-	-	-
CACVWD010000005.1	cds	8714	17656	-	BMNMOC_00170	-	-	-	-	-	-
CACVWD010000005.1	cds	17723	19903	-	BMNMOC_00171	-	-	-	-	-	-
CACVWD010000005.1	cds	19913	22096	-	BMNMOC_00172	-	-	-	-	-	-
CACVWD010000005.1	cds	22103	22525	-	BMNMOC_00173	-	-	-	-	-	-
CACVWD010000005.1	cds	23397	23948	-	BMNMOC_00174	-	-	-	-	-	-
CACVWD010000005.1	cds	23993	24796	-	BMNMOC_00175	-	-	-	-	-	-
CACVWD010000005.1	tRNA	25114	25190	-	BMNMOC_00176	64.7	-	-	-	-	-
CACVWD010000005.1	cds	25281	25973	-	BMNMOC_00177	239.0	1.1e-77	1.017	0.940	0.526	UniRef:UniRef50_A0A4R2RB95
CACVWD010000005.1	cds	25995	26288	-	BMNMOC_00178	-	-	-	-	-	-
CACVWD010000005.1	cds	26353	26988	-	BMNMOC_00179	263.0	7.5e-88	0.924	0.848	0.651	UniRef:UniRef50_A0A1V5U3K4
CACVWD010000005.1	cds	27121	28158	+	BMNMOC_00180	350.0	5.9e-118	0.957	0.871	0.515	UniRef:UniRef50_A0A174SYR5
CACVWD010000006.1	cds	189	1124	-	BMNMOC_00181	-	-	-	-	-	-
CACVWD010000006.1	cds	1138	2289	-	BMNMOC_00182	367.0	1.3e-123	0.997	0.962	0.518	UniRef:UniRef50_A0A1Y3YHK0
CACVWD010000006.1	cds	2286	3119	-	BMNMOC_00183	326.0	2.4e-110	0.986	0.881	0.604	UniRef:UniRef50_B0TD39
CACVWD010000006.1	cds	3258	4442	+	BMNMOC_00184	-	-	-	-	-	-
CACVWD010000006.1	cds	4478	4993	-	BMNMOC_00185	-	-	-	-	-	-
CACVWD010000006.1	cds	4990	5850	-	BMNMOC_00186	-	-	-	-	-	-
CACVWD010000006.1	tRNA	6012	6094	+	BMNMOC_00187	56.1	-	-	-	-	-
CACVWD010000006.1	cds	6190	6675	-	BMNMOC_00188	-	-	-	-	-	-
CACVWD010000006.1	cds	6830	8827	+	BMNMOC_00189	-	-	-	-	-	-
CACVWD010000006.1	tRNA	8959	9035	+	BMNMOC_00190	75.2	-	-	-	-	-
CACVWD010000006.1	cds	9324	9821	+	BMNMOC_00191	174.0	4.1e-54	0.927	0.860	0.510	UniRef:UniRef50_F3BDL2
CACVWD010000006.1	cds	9893	11035	+	BMNMOC_00192	422.0	4.8e-145	0.979	0.894	0.575	UniRef:UniRef50_R6TWL7
CACVWD010000006.1	cds	11028	11837	+	BMNMOC_00193	-	-	-	-	-	-
CACVWD010000006.1	cds	11900	12910	+	BMNMOC_00194	-	-	-	-	-	-
CACVWD010000006.1	cds	12919	14109	+	BMNMOC_00195	-	-	-	-	-	-
CACVWD010000006.1	cds	14113	15405	+	BMNMOC_00196	437.0	8.7e-150	0.956	0.932	0.564	UniRef:UniRef50_A0A1W2B0X1
CACVWD010000006.1	cds	15398	17053	+	BMNMOC_00197	-	-	-	-	-	-
CACVWD010000006.1	cds	17102	17374	-	BMNMOC_00198	77.4	2.4e-18	1.0	0.989	0.511	UniRef:UniRef50_A0A358RIU8
CACVWD010000006.1	cds	17481	18902	-	BMNMOC_00199	-	-	-	-	-	-
CACVWD010000006.1	cds	18904	20556	-	BMNMOC_00200	-	-	-	-	-	-
CACVWD010000006.1	cds	20589	21869	-	BMNMOC_00201	427.0	7.1e-146	0.993	0.977	0.520	UniRef:UniRef50_R9L0R4
CACVWD010000006.1	cds	21959	23362	-	BMNMOC_00202	588.0	5.6e-207	1.015	0.860	0.675	UniRef:UniRef50_A0A355V2R8
CACVWD010000006.1	cds	23426	23965	-	BMNMOC_00203	218.0	4.0e-71	0.911	0.840	0.669	UniRef:UniRef50_B2KCN3
CACVWD010000006.1	cds	24244	24783	+	BMNMOC_00204	-	-	-	-	-	-
CACVWD010000006.1	cds	24791	27016	+	BMNMOC_00205	684.0	2.3e-237	1.015	1.001	0.503	UniRef:UniRef50_A0A1V5U1R0
CACVWD010000006.1	cds	27018	28970	+	BMNMOC_00206	740.0	7.6e-262	1.006	0.951	0.584	UniRef:UniRef50_A0A1W1YQQ8
CACVWD010000006.1	cds	28967	29929	+	BMNMOC_00207	328.0	3.1e-110	1.006	0.967	0.556	UniRef:UniRef50_A0A1V5XX51
CACVWD010000006.1	cds	29972	30949	+	BMNMOC_00208	300.0	2.3e-98	0.991	0.811	0.565	UniRef:UniRef50_A0A413I119
CACVWD010000006.1	cds	30951	31820	+	BMNMOC_00209	307.0	1.1e-102	0.997	0.892	0.552	UniRef:UniRef50_A0A2J8B6D8
CACVWD010000006.1	cds	31892	32767	+	BMNMOC_00210	301.0	8.8e-101	1.0	0.986	0.550	UniRef:UniRef50_A0A1V5U1S0
CACVWD010000006.1	cds	32772	33032	+	BMNMOC_00211	91.3	8.2e-24	0.919	0.814	0.532	UniRef:UniRef50_A0A1K1NCE0
CACVWD010000006.1	cds	33041	33667	+	BMNMOC_00212	238.0	4.1e-78	0.966	0.944	0.592	UniRef:UniRef50_R6BFG5
CACVWD010000006.1	cds	33664	33858	+	BMNMOC_00213	-	-	-	-	-	-
CACVWD010000006.1	cds	33921	35447	+	BMNMOC_00214	-	-	-	-	-	-
CACVWD010000006.1	cds	35440	36114	+	BMNMOC_00215	-	-	-	-	-	-
CACVWD010000007.1	cds	50	1000	+	BMNMOC_00216	-	-	-	-	-	-
CACVWD010000007.1	cds	847	2766	-	BMNMOC_00217	-	-	-	-	-	-
CACVWD010000007.1	cds	3217	3993	-	BMNMOC_00218	305.0	1.3e-102	1.0	0.832	0.578	UniRef:UniRef50_A0A316PAI7
CACVWD010000007.1	cds	4197	5309	+	BMNMOC_00219	392.0	1.3e-133	1.0	0.949	0.530	UniRef:UniRef50_A0A2X2U5L6
CACVWD010000007.1	cds	5619	6731	+	BMNMOC_00220	-	-	-	-	-	-
CACVWD010000007.1	cds	6707	6883	+	BMNMOC_00221	-	-	-	-	-	-
CACVWD010000007.1	cds	7142	8236	+	BMNMOC_00222	-	-	-	-	-	-
CACVWD010000007.1	cds	8433	8570	-	BMNMOC_00223	-	-	-	-	-	-
CACVWD010000007.1	cds	8637	8870	-	BMNMOC_00224	-	-	-	-	-	-
CACVWD010000007.1	cds	9090	9344	-	BMNMOC_00225	-	-	-	-	-	-
CACVWD010000007.1	cds	9448	9564	-	BMNMOC_00226	-	-	-	-	-	-
CACVWD010000007.1	cds	9586	10329	+	BMNMOC_00227	-	-	-	-	-	-
CACVWD010000007.1	cds	10735	12648	-	BMNMOC_00228	790.0	3.2e-282	0.986	0.981	0.635	UniRef:UniRef50_A0A1Q6M9W9
CACVWD010000007.1	cds	12663	14435	-	BMNMOC_00229	781.0	1.0e-278	0.993	0.848	0.662	UniRef:UniRef50_A0A1C5WFW2
CACVWD010000007.1	cds	14612	16210	-	BMNMOC_00230	751.0	8.6e-270	0.998	0.940	0.695	UniRef:UniRef50_A0A1Q6TTT6
CACVWD010000007.1	cds	16432	17694	+	BMNMOC_00231	-	-	-	-	-	-
CACVWD010000007.1	cds	17708	19195	+	BMNMOC_00232	560.0	3.3e-195	0.996	0.853	0.564	UniRef:UniRef50_Q99Z89
CACVWD010000007.1	cds	19195	20223	+	BMNMOC_00233	-	-	-	-	-	-
CACVWD010000007.1	cds	20292	21071	+	BMNMOC_00234	-	-	-	-	-	-
CACVWD010000007.1	cds	21106	22827	+	BMNMOC_00235	506.0	1.2e-172	0.979	0.954	0.506	UniRef:UniRef50_R2RLJ2
