# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
CACVWD010000002.1	cds	12711	14021	+	BMNMOC_00054		Aminotransferase DegT/DnrJ/EryC1/StrS family	SO:0001217, UniRef:UniRef50_R7MZQ9
CACVWD010000002.1	cds	14119	15303	+	BMNMOC_00055		hypothetical protein	
CACVWD010000002.1	cds	15324	16067	+	BMNMOC_00056		Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase	SO:0001217, UniRef:UniRef50_A0A0F0CEI1
CACVWD010000002.1	cds	16092	17483	+	BMNMOC_00057		hypothetical protein	
CACVWD010000002.1	cds	17480	18706	+	BMNMOC_00058		Phosphoribosylamine--glycine ligase	SO:0001217, UniRef:UniRef50_A0A0F0C939
CACVWD010000002.1	cds	18739	19818	+	BMNMOC_00059		hypothetical protein	
CACVWD010000002.1	cds	19868	20977	+	BMNMOC_00060		hypothetical protein	
CACVWD010000002.1	cds	21012	22097	+	BMNMOC_00061		2-dehydropantoate 2-reductase	SO:0001217, UniRef:UniRef50_A0AAW8CD21
CACVWD010000002.1	cds	22104	23072	+	BMNMOC_00062		hypothetical protein	
CACVWD010000002.1	cds	23128	24744	+	BMNMOC_00063		hypothetical protein	
CACVWD010000002.1	cds	24774	25775	+	BMNMOC_00064		hypothetical protein	PFAM:PF02955.21
CACVWD010000002.1	cds	25817	27181	+	BMNMOC_00065	dctM	TRAP C4-dicarboxylate transport system permease DctM subunit domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3D4QP60
CACVWD010000002.1	cds	27195	27485	+	BMNMOC_00066		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A7V6NJD7
CACVWD010000002.1	cds	27574	28908	+	BMNMOC_00067		MmgE/PrpD family protein	SO:0001217, UniRef:UniRef50_G5HH78
CACVWD010000002.1	cds	28886	29899	+	BMNMOC_00068		General stress protein 69	SO:0001217, UniRef:UniRef50_A0A088T3B9
CACVWD010000002.1	cds	29900	31030	+	BMNMOC_00069		Benzoylformate decarboxylase	SO:0001217, UniRef:UniRef50_A0A0F0C944
CACVWD010000002.1	cds	31108	32010	+	BMNMOC_00070		Peptidase family U32	SO:0001217, UniRef:UniRef50_A0A1H9E331
CACVWD010000002.1	cds	32090	33238	+	BMNMOC_00071		Citrate lyase beta subunit	SO:0001217, UniRef:UniRef50_E6UGJ0
CACVWD010000002.1	cds	33251	33763	+	BMNMOC_00072		L(+)-tartrate dehydratase subunit beta	SO:0001217, UniRef:UniRef50_A0A7X8VFY7
CACVWD010000002.1	cds	33750	34604	+	BMNMOC_00073		L(+)-tartrate dehydratase subunit alpha	SO:0001217, UniRef:UniRef50_A0A1B1Q176
CACVWD010000002.1	cds	34696	35853	+	BMNMOC_00074		hypothetical protein	PFAM:PF14907.12
CACVWD010000002.1	cds	35987	37564	+	BMNMOC_00075		hypothetical protein	
CACVWD010000002.1	cds	37858	38865	-	BMNMOC_00076		Putative oxidoreductase	SO:0001217, UniRef:UniRef50_A0A173ZUP4
CACVWD010000003.1	cds	29	352	+	BMNMOC_00077		hypothetical protein	
CACVWD010000003.1	cds	445	1935	-	BMNMOC_00078		hypothetical protein	PFAM:PF00165.29, PFAM:PF12833.13, PFAM:PF13377.12
CACVWD010000003.1	cds	2083	2937	-	BMNMOC_00079		hypothetical protein	PFAM:PF13349.12
CACVWD010000003.1	cds	2953	3993	-	BMNMOC_00080		Threonine aldolase	SO:0001217, UniRef:UniRef50_F9D3W1
CACVWD010000003.1	cds	3980	4495	-	BMNMOC_00081		hypothetical protein	PFAM:PF13508.13, PFAM:PF13527.13, PFAM:PF13673.13
CACVWD010000003.1	cds	4492	4914	-	BMNMOC_00082		hypothetical protein	PFAM:PF03061.28, PFAM:PF13279.12
CACVWD010000003.1	cds	5056	5409	+	BMNMOC_00083		HTH arsR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6N2UEL9
CACVWD010000003.1	cds	5473	7563	+	BMNMOC_00084		Cd(2+)-exporting ATPase	SO:0001217, UniRef:UniRef50_A0A8J8MC43
CACVWD010000003.1	cds	7607	8557	+	BMNMOC_00085		hypothetical protein	PFAM:PF10035.14
CACVWD010000003.1	cds	8900	10426	+	BMNMOC_00086		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_S2LAC7
CACVWD010000003.1	cds	10415	11176	-	BMNMOC_00087		hypothetical protein	
CACVWD010000003.1	cds	11384	11755	+	BMNMOC_00088		DUF1508 domain-containing protein	SO:0001217, UniRef:UniRef50_C8PKU8
CACVWD010000003.1	cds	11880	12425	+	BMNMOC_00089		hypothetical protein	
CACVWD010000003.1	cds	12637	13314	+	BMNMOC_00090		hypothetical protein	
CACVWD010000003.1	cds	13392	15152	-	BMNMOC_00091		Solute-binding protein family 5 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q6PXN1
CACVWD010000003.1	cds	15217	16209	-	BMNMOC_00092		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A174NIE3
CACVWD010000003.1	cds	16206	17231	-	BMNMOC_00093		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_H1PKF4
CACVWD010000003.1	cds	17248	18321	-	BMNMOC_00094		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_C4ZGE3
CACVWD010000003.1	cds	18336	19265	-	BMNMOC_00095		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_F3B1S5
CACVWD010000003.1	cds	19503	20387	-	BMNMOC_00096		Elongation factor Ts	SO:0001217, UniRef:UniRef50_A0A1G6A9Z3
CACVWD010000003.1	cds	20403	21140	-	BMNMOC_00097		Small ribosomal subunit protein uS2	SO:0001217, UniRef:UniRef50_Q30PK5
CACVWD010000003.1	cds	21400	22338	+	BMNMOC_00098		Steroid 5-alpha reductase C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2K8ZYT1
CACVWD010000003.1	cds	22697	22981	-	BMNMOC_00099		hypothetical protein	
CACVWD010000003.1	cds	23058	23471	-	BMNMOC_00100		Putative pre-16S rRNA nuclease	SO:0001217, UniRef:UniRef50_A0A7C8KN67
CACVWD010000003.1	cds	23480	23731	-	BMNMOC_00101		UPF0297 protein IJ22_27840	SO:0001217, UniRef:UniRef50_A0A0U2W6N2
CACVWD010000003.1	cds	23854	24846	+	BMNMOC_00102		SsuA/THI5-like domain-containing protein	SO:0001217, UniRef:UniRef50_R7LND4
CACVWD010000003.1	cds	24942	26372	+	BMNMOC_00103		Major facilitator superfamily (MFS) profile domain-containing protein	SO:0001217, UniRef:UniRef50_A0A317FYC2
CACVWD010000003.1	cds	26425	27756	-	BMNMOC_00104	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	SO:0001217, UniRef:UniRef50_B0JL96
CACVWD010000003.1	cds	27760	28344	-	BMNMOC_00105		ATP-dependent Clp protease proteolytic subunit	SO:0001217, UniRef:UniRef50_A0A841T617
CACVWD010000003.1	cds	28388	29695	-	BMNMOC_00106		hypothetical protein	PFAM:PF00254.34
CACVWD010000003.1	cds	29940	30827	+	BMNMOC_00107		hypothetical protein	PFAM:PF19279.4
CACVWD010000004.1	cds	73	711	+	BMNMOC_00108		hypothetical protein	
CACVWD010000004.1	cds	767	1192	+	BMNMOC_00109		hypothetical protein	PFAM:PF13240.11
CACVWD010000004.1	cds	1243	2454	-	BMNMOC_00110		Isocitrate dehydrogenase [NADP]	SO:0001217, UniRef:UniRef50_D0JAV5
CACVWD010000004.1	cds	2519	4762	-	BMNMOC_00111		Iron-responsive protein-like	SO:0001217, UniRef:UniRef50_A0A1H8DGY9
CACVWD010000004.1	cds	5051	6031	+	BMNMOC_00112		hypothetical protein	PFAM:PF01467.32, PFAM:PF08218.17
CACVWD010000004.1	cds	5994	7307	+	BMNMOC_00113		hypothetical protein	
CACVWD010000004.1	cds	7304	8206	+	BMNMOC_00114		hypothetical protein	PFAM:PF00126.33
CACVWD010000004.1	cds	8264	9733	-	BMNMOC_00115		hypothetical protein	
CACVWD010000004.1	cds	9904	10410	-	BMNMOC_00116		hypothetical protein	
CACVWD010000004.1	cds	10397	10759	-	BMNMOC_00117		hypothetical protein	
CACVWD010000004.1	cds	10763	11083	-	BMNMOC_00118		hypothetical protein	
CACVWD010000004.1	cds	11099	11899	-	BMNMOC_00119		ADP-ribosylglycohydrolase	SO:0001217, UniRef:UniRef50_S3AUI2
CACVWD010000004.1	cds	12176	12967	+	BMNMOC_00120		hypothetical protein	PFAM:PF04434.22
CACVWD010000004.1	cds	13590	14381	-	BMNMOC_00121		hypothetical protein	
CACVWD010000004.1	tRNA	14710	14786	-	BMNMOC_00122	trnR	tRNA-Arg(ccg)	SO:0001036
CACVWD010000004.1	cds	14873	15760	-	BMNMOC_00123		hypothetical protein	
CACVWD010000004.1	cds	15945	17261	+	BMNMOC_00124		DUF1015 domain-containing protein	SO:0001217, UniRef:UniRef50_R5AJA3
CACVWD010000004.1	cds	17274	18587	+	BMNMOC_00125		Aspartokinase	SO:0001217, UniRef:UniRef50_W2BXY9
CACVWD010000004.1	cds	18666	19397	-	BMNMOC_00126		hypothetical protein	
CACVWD010000004.1	cds	19513	21921	-	BMNMOC_00127		DNA topoisomerase (ATP-hydrolyzing)	SO:0001217, UniRef:UniRef50_A0A971VBF9
CACVWD010000004.1	cds	21925	23877	-	BMNMOC_00128		DNA gyrase subunit B	SO:0001217, UniRef:UniRef50_G2TIE8
CACVWD010000004.1	cds	24083	25045	+	BMNMOC_00129		Ribosomal RNA small subunit methyltransferase H	SO:0001217, UniRef:UniRef50_A0A844NVU0
CACVWD010000004.1	cds	25064	25579	+	BMNMOC_00130		hypothetical protein	
CACVWD010000004.1	cds	25584	27872	+	BMNMOC_00131		hypothetical protein	PFAM:PF00905.27, PFAM:PF03717.20, PFAM:PF03793.24, PFAM:PF21922.1
CACVWD010000004.1	cds	27888	29321	+	BMNMOC_00132		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	SO:0001217, UniRef:UniRef50_A0A136WFR5
CACVWD010000004.1	cds	29325	30356	+	BMNMOC_00133		hypothetical protein	PFAM:PF10555.14
CACVWD010000004.1	cds	30372	31721	+	BMNMOC_00134		UDP-N-acetylmuramoylalanine--D-glutamate ligase	SO:0001217, UniRef:UniRef50_A0A0M2NQ05
CACVWD010000004.1	cds	31734	32894	+	BMNMOC_00135	ftsW	putative peptidoglycan glycosyltransferase FtsW	SO:0001217, UniRef:UniRef50_A0A2V2EJ13
CACVWD010000004.1	cds	32934	34208	+	BMNMOC_00136		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	SO:0001217, UniRef:UniRef50_A0A0D8IC57
CACVWD010000004.1	cds	34227	35594	+	BMNMOC_00137		hypothetical protein	PFAM:PF03799.20, PFAM:PF08478.15
CACVWD010000004.1	cds	35660	37234	-	BMNMOC_00138		Band 7 domain-containing protein	SO:0001217, UniRef:UniRef50_F3B1C5
CACVWD010000004.1	cds	37472	37960	+	BMNMOC_00139		hypothetical protein	PFAM:PF01381.28, PFAM:PF13560.12
CACVWD010000004.1	cds	38007	38444	+	BMNMOC_00140		hypothetical protein	
CACVWD010000004.1	cds	38464	39102	+	BMNMOC_00141		hypothetical protein	
CACVWD010000004.1	cds	39178	39348	-	BMNMOC_00142		Ferredoxin	SO:0001217, UniRef:UniRef50_P00195
CACVWD010000004.1	cds	39546	40364	+	BMNMOC_00143		hypothetical protein	PFAM:PF17762.7
CACVWD010000004.1	cds	40400	41386	-	BMNMOC_00144		hypothetical protein	PFAM:PF21694.2
CACVWD010000004.1	cds	41553	41840	+	BMNMOC_00145		hypothetical protein	PFAM:PF01250.22
CACVWD010000004.1	cds	41884	42303	+	BMNMOC_00146		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A1V5KEV3
CACVWD010000004.1	cds	42325	42567	+	BMNMOC_00147		Small ribosomal subunit protein bS18	SO:0001217, UniRef:UniRef50_A0A084JD97
CACVWD010000004.1	cds	42668	43429	-	BMNMOC_00148		hypothetical protein	
CACVWD010000004.1	cds	43506	45671	-	BMNMOC_00149		hypothetical protein	PFAM:PF00361.26
CACVWD010000004.1	cds	45712	47070	-	BMNMOC_00150		hypothetical protein	PFAM:PF00361.26
CACVWD010000004.1	cds	47080	48549	-	BMNMOC_00151		NADH:quinone oxidoreductase/Mrp antiporter transmembrane domain-containing protein	SO:0001217, UniRef:UniRef50_R9J4L6
CACVWD010000004.1	cds	48559	50046	-	BMNMOC_00152		hypothetical protein	PFAM:PF00361.26
CACVWD010000004.1	cds	50050	50436	-	BMNMOC_00153		Mrp complex subunit C1	SO:0001217, UniRef:UniRef50_A0A1C6B8T9
CACVWD010000004.1	cds	50436	51338	-	BMNMOC_00154		hypothetical protein	PFAM:PF20501.3
CACVWD010000004.1	cds	51316	51585	-	BMNMOC_00155		hypothetical protein	PFAM:PF13244.11
CACVWD010000004.1	cds	51572	51922	-	BMNMOC_00156		hypothetical protein	
CACVWD010000004.1	cds	51915	52220	-	BMNMOC_00157		hypothetical protein	
CACVWD010000004.1	cds	52222	52680	-	BMNMOC_00158		hypothetical protein	
CACVWD010000004.1	cds	52759	53751	-	BMNMOC_00159		hypothetical protein	PFAM:PF03372.29
CACVWD010000004.1	cds	53993	54757	+	BMNMOC_00160		hypothetical protein	PFAM:PF00702.32, PFAM:PF13242.12
CACVWD010000004.1	cds	54779	56653	+	BMNMOC_00161		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_R9M8D6
CACVWD010000004.1	cds	56686	57843	+	BMNMOC_00162	malK	Maltose/maltodextrin import ATP-binding protein MalK	SO:0001217, UniRef:UniRef50_A0A1C5WTB8
CACVWD010000005.1	cds	457	2325	-	BMNMOC_00163		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	SO:0001217, UniRef:UniRef50_A0A9D1EB87
CACVWD010000005.1	cds	2381	3562	-	BMNMOC_00164		hypothetical protein	PFAM:PF00155.27, PFAM:PF04864.19
CACVWD010000005.1	cds	3559	4347	-	BMNMOC_00165		hypothetical protein	PFAM:PF01678.24
CACVWD010000005.1	cds	4376	5707	-	BMNMOC_00166		Glutamine synthetase	SO:0001217, UniRef:UniRef50_P10656
CACVWD010000005.1	cds	5704	7311	-	BMNMOC_00167		CTP synthase	SO:0001217, UniRef:UniRef50_Q47QN2
CACVWD010000005.1	cds	8157	8297	-	BMNMOC_00168		hypothetical protein	
CACVWD010000005.1	cds	8490	8663	-	BMNMOC_00169		hypothetical protein	
CACVWD010000005.1	cds	8714	17656	-	BMNMOC_00170		hypothetical protein	PFAM:PF00404.24, PFAM:PF03160.20, PFAM:PF24346.1
CACVWD010000005.1	cds	17723	19903	-	BMNMOC_00171		hypothetical protein	PFAM:PF00005.33
CACVWD010000005.1	cds	19913	22096	-	BMNMOC_00172		hypothetical protein	PFAM:PF00005.33, PFAM:PF13529.12
CACVWD010000005.1	cds	22103	22525	-	BMNMOC_00173		hypothetical protein	
CACVWD010000005.1	cds	23397	23948	-	BMNMOC_00174		hypothetical protein	
CACVWD010000005.1	cds	23993	24796	-	BMNMOC_00175		hypothetical protein	
CACVWD010000005.1	tRNA	25114	25190	-	BMNMOC_00176	trnM	tRNA-Met(cat)	SO:0000266
CACVWD010000005.1	cds	25281	25973	-	BMNMOC_00177		Calcineurin-like phosphoesterase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4R2RB95
CACVWD010000005.1	cds	25995	26288	-	BMNMOC_00178		hypothetical protein	
CACVWD010000005.1	cds	26353	26988	-	BMNMOC_00179	engB	putative GTP-binding protein EngB	SO:0001217, UniRef:UniRef50_A0A1V5U3K4
CACVWD010000005.1	cds	27121	28158	+	BMNMOC_00180	mreB	Cell shape-determining protein MreB	SO:0001217, UniRef:UniRef50_A0A174SYR5
CACVWD010000006.1	cds	189	1124	-	BMNMOC_00181		hypothetical protein	
CACVWD010000006.1	cds	1138	2289	-	BMNMOC_00182		Ferredoxin	SO:0001217, UniRef:UniRef50_A0A1Y3YHK0
CACVWD010000006.1	cds	2286	3119	-	BMNMOC_00183		putative endonuclease 4	SO:0001217, UniRef:UniRef50_B0TD39
CACVWD010000006.1	cds	3258	4442	+	BMNMOC_00184		hypothetical protein	PFAM:PF16325.11
CACVWD010000006.1	cds	4478	4993	-	BMNMOC_00185		hypothetical protein	
CACVWD010000006.1	cds	4990	5850	-	BMNMOC_00186		hypothetical protein	
CACVWD010000006.1	tRNA	6012	6094	+	BMNMOC_00187	trnL	tRNA-Leu(gag)	SO:0000264
CACVWD010000006.1	cds	6190	6675	-	BMNMOC_00188		hypothetical protein	PFAM:PF01047.28
CACVWD010000006.1	cds	6830	8827	+	BMNMOC_00189		hypothetical protein	PFAM:PF00561.26, PFAM:PF12146.15
CACVWD010000006.1	tRNA	8959	9035	+	BMNMOC_00190	trnV	tRNA-Val(cac)	SO:0000273
CACVWD010000006.1	cds	9324	9821	+	BMNMOC_00191		Uracil-DNA glycosylase-like domain-containing protein	SO:0001217, UniRef:UniRef50_F3BDL2
CACVWD010000006.1	cds	9893	11035	+	BMNMOC_00192		Glycosyltransferase	SO:0001217, UniRef:UniRef50_R6TWL7
CACVWD010000006.1	cds	11028	11837	+	BMNMOC_00193		hypothetical protein	
CACVWD010000006.1	cds	11900	12910	+	BMNMOC_00194		hypothetical protein	
CACVWD010000006.1	cds	12919	14109	+	BMNMOC_00195		hypothetical protein	PFAM:PF00288.32, PFAM:PF10509.15
CACVWD010000006.1	cds	14113	15405	+	BMNMOC_00196		Major Facilitator Superfamily protein	SO:0001217, UniRef:UniRef50_A0A1W2B0X1
CACVWD010000006.1	cds	15398	17053	+	BMNMOC_00197		hypothetical protein	PFAM:PF00703.27, PFAM:PF02836.23, PFAM:PF02837.24, PFAM:PF22666.2
CACVWD010000006.1	cds	17102	17374	-	BMNMOC_00198		HU family DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A358RIU8
CACVWD010000006.1	cds	17481	18902	-	BMNMOC_00199		hypothetical protein	PFAM:PF00590.25, PFAM:PF03819.22
CACVWD010000006.1	cds	18904	20556	-	BMNMOC_00200		hypothetical protein	
CACVWD010000006.1	cds	20589	21869	-	BMNMOC_00201	lysM	LysM domain-containing protein	SO:0001217, UniRef:UniRef50_R9L0R4
CACVWD010000006.1	cds	21959	23362	-	BMNMOC_00202		Uracil-xanthine permease	SO:0001217, UniRef:UniRef50_A0A355V2R8
CACVWD010000006.1	cds	23426	23965	-	BMNMOC_00203	pyrR	Bifunctional protein PyrR	SO:0001217, UniRef:UniRef50_B2KCN3
CACVWD010000006.1	cds	24244	24783	+	BMNMOC_00204		hypothetical protein	
CACVWD010000006.1	cds	24791	27016	+	BMNMOC_00205		DNA 3'-5' helicase	SO:0001217, UniRef:UniRef50_A0A1V5U1R0
CACVWD010000006.1	cds	27018	28970	+	BMNMOC_00206		DNA ligase	SO:0001217, UniRef:UniRef50_A0A1W1YQQ8
CACVWD010000006.1	cds	28967	29929	+	BMNMOC_00207	hypE	Hydrogenase expression/formation protein HypE	SO:0001217, UniRef:UniRef50_A0A1V5XX51
CACVWD010000006.1	cds	29972	30949	+	BMNMOC_00208	hflK	Protein HflK	SO:0001217, UniRef:UniRef50_A0A413I119
CACVWD010000006.1	cds	30951	31820	+	BMNMOC_00209	hflC	Protein HflC	SO:0001217, UniRef:UniRef50_A0A2J8B6D8
CACVWD010000006.1	cds	31892	32767	+	BMNMOC_00210		YicC-like family, N-terminal region	SO:0001217, UniRef:UniRef50_A0A1V5U1S0
CACVWD010000006.1	cds	32772	33032	+	BMNMOC_00211		Putative regulatory protein SAMN02910447_01800	SO:0001217, UniRef:UniRef50_A0A1K1NCE0
CACVWD010000006.1	cds	33041	33667	+	BMNMOC_00212		Guanylate kinase	SO:0001217, UniRef:UniRef50_R6BFG5
CACVWD010000006.1	cds	33664	33858	+	BMNMOC_00213		hypothetical protein	
CACVWD010000006.1	cds	33921	35447	+	BMNMOC_00214		hypothetical protein	PFAM:PF00270.35, PFAM:PF17764.6, PFAM:PF18319.7
