#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
CACVWD010000001.1	31124	34375	+	BMNMOC_00033	120.6	5.9	PF12705.13|PDDEXK_1, PF21445.3|ADDB_N	PFAM:PF12705.13, PFAM:PF21445.3
CACVWD010000001.1	34372	37653	+	BMNMOC_00034	121.5	5.4	PF00580.27|UvrD-helicase, PF12705.13|PDDEXK_1, PF13245.12|AAA_19, PF13361.12|UvrD_C, PF13538.12|UvrD_C_2	PFAM:PF00580.27, PFAM:PF12705.13, PFAM:PF13245.12, PFAM:PF13361.12, PFAM:PF13538.12
CACVWD010000001.1	37650	38930	+	BMNMOC_00035	46.2	7.9	PF17125.10|Methyltr_RsmF_N, PF17126.11|RsmF_methylt_CI	PFAM:PF17125.10, PFAM:PF17126.11
CACVWD010000001.1	38944	39738	+	BMNMOC_00036	29.0	5.8	PF00398.26|RrnaAD, PF08241.18|Methyltransf_11, PF13649.12|Methyltransf_25	PFAM:PF00398.26, PFAM:PF08241.18, PFAM:PF13649.12
CACVWD010000001.1	39775	40362	-	BMNMOC_00037	21.2	4.4	PF00932.25|LTD	PFAM:PF00932.25
CACVWD010000001.1	44282	45076	-	BMNMOC_00042	28.7	7.5	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
CACVWD010000001.1	48230	49105	-	BMNMOC_00045	33.2	11.4		
CACVWD010000002.1	32	424	+	BMNMOC_00046	14.4	7.6	PF07992.20|Pyr_redox_2	PFAM:PF07992.20
CACVWD010000002.1	648	3389	+	BMNMOC_00047	97.0	9.2	PF00656.27|Peptidase_C14, PF07679.22|I-set, PF07686.23|V-set, PF09479.16|Flg_new, PF13473.12|Cupredoxin_1, PF13895.12|Ig_2, PF13927.12|Ig_3	PFAM:PF00656.27, PFAM:PF07679.22, PFAM:PF07686.23, PFAM:PF09479.16, PFAM:PF13473.12, PFAM:PF13895.12, PFAM:PF13927.12
CACVWD010000002.1	9113	10579	+	BMNMOC_00052	55.0	5.1		
CACVWD010000002.1	14119	15303	+	BMNMOC_00055	45.7	5.8		
CACVWD010000002.1	16092	17483	+	BMNMOC_00057	52.6	9.7		
CACVWD010000002.1	18739	19818	+	BMNMOC_00059	41.3	9.3		
CACVWD010000002.1	19868	20977	+	BMNMOC_00060	42.6	8.9		
CACVWD010000002.1	22104	23072	+	BMNMOC_00062	38.1	8.4		
CACVWD010000002.1	23128	24744	+	BMNMOC_00063	60.8	9.3		
CACVWD010000002.1	24774	25775	+	BMNMOC_00064	37.9	8.2	PF02955.21|GSH-S_ATP	PFAM:PF02955.21
CACVWD010000002.1	34696	35853	+	BMNMOC_00074	44.2	9.0	PF14907.12|NTP_transf_5	PFAM:PF14907.12
CACVWD010000002.1	35987	37564	+	BMNMOC_00075	58.8	5.8		
CACVWD010000003.1	29	352	+	BMNMOC_00077	11.7	8.7		
CACVWD010000003.1	445	1935	-	BMNMOC_00078	53.6	10.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18, PF13377.12|Peripla_BP_3	PFAM:PF00165.29, PFAM:PF12833.13, PFAM:PF13377.12
CACVWD010000003.1	2083	2937	-	BMNMOC_00079	30.1	5.2	PF13349.12|DUF4097	PFAM:PF13349.12
CACVWD010000003.1	3980	4495	-	BMNMOC_00081	20.0	5.5	PF13508.13|Acetyltransf_7, PF13527.13|Acetyltransf_9, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13527.13, PFAM:PF13673.13
CACVWD010000003.1	4492	4914	-	BMNMOC_00082	16.2	5.8	PF03061.28|4HBT, PF13279.12|4HBT_2	PFAM:PF03061.28, PFAM:PF13279.12
CACVWD010000003.1	7607	8557	+	BMNMOC_00085	34.3	8.6	PF10035.14|DUF2179	PFAM:PF10035.14
CACVWD010000003.1	10415	11176	-	BMNMOC_00087	26.0	5.8		
CACVWD010000003.1	11880	12425	+	BMNMOC_00089	20.8	5.6		
CACVWD010000003.1	12637	13314	+	BMNMOC_00090	25.0	9.8		
CACVWD010000003.1	22697	22981	-	BMNMOC_00099	10.9	4.1		
CACVWD010000003.1	28388	29695	-	BMNMOC_00106	48.7	4.5	PF00254.34|FKBP_C	PFAM:PF00254.34
CACVWD010000003.1	29940	30827	+	BMNMOC_00107	31.7	6.3	PF19279.4|YegS_C	PFAM:PF19279.4
CACVWD010000004.1	73	711	+	BMNMOC_00108	23.8	4.3		
CACVWD010000004.1	767	1192	+	BMNMOC_00109	15.9	8.8	PF13240.11|Zn_Ribbon_1	PFAM:PF13240.11
CACVWD010000004.1	5051	6031	+	BMNMOC_00112	36.2	5.6	PF01467.32|CTP_transf_like, PF08218.17|Citrate_ly_lig	PFAM:PF01467.32, PFAM:PF08218.17
CACVWD010000004.1	5994	7307	+	BMNMOC_00113	46.5	5.4		
CACVWD010000004.1	7304	8206	+	BMNMOC_00114	33.8	6.7	PF00126.33|HTH_1	PFAM:PF00126.33
CACVWD010000004.1	8264	9733	-	BMNMOC_00115	54.1	4.8		
CACVWD010000004.1	9904	10410	-	BMNMOC_00116	19.2	5.3		
CACVWD010000004.1	10397	10759	-	BMNMOC_00117	13.8	5.3		
CACVWD010000004.1	10763	11083	-	BMNMOC_00118	12.0	6.9		
CACVWD010000004.1	12176	12967	+	BMNMOC_00120	29.8	5.2	PF04434.22|SWIM	PFAM:PF04434.22
CACVWD010000004.1	13590	14381	-	BMNMOC_00121	30.3	5.4		
CACVWD010000004.1	14873	15760	-	BMNMOC_00123	32.2	5.0		
CACVWD010000004.1	18666	19397	-	BMNMOC_00126	27.7	5.5		
CACVWD010000004.1	25064	25579	+	BMNMOC_00130	18.6	5.6		
CACVWD010000004.1	25584	27872	+	BMNMOC_00131	82.4	5.2	PF00905.27|Transpeptidase, PF03717.20|PBP_dimer, PF03793.24|PASTA, PF21922.1|PBP_dimer_2	PFAM:PF00905.27, PFAM:PF03717.20, PFAM:PF03793.24, PFAM:PF21922.1
CACVWD010000004.1	29325	30356	+	BMNMOC_00133	36.7	9.4	PF10555.14|MraY_sig1	PFAM:PF10555.14
CACVWD010000004.1	34227	35594	+	BMNMOC_00137	50.6	5.0	PF03799.20|FtsQ_DivIB_C, PF08478.15|POTRA_1	PFAM:PF03799.20, PFAM:PF08478.15
CACVWD010000004.1	37472	37960	+	BMNMOC_00139	18.7	5.6	PF01381.28|HTH_3, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF13560.12
CACVWD010000004.1	38007	38444	+	BMNMOC_00140	14.8	9.7		
CACVWD010000004.1	38464	39102	+	BMNMOC_00141	23.2	9.0		
CACVWD010000004.1	39546	40364	+	BMNMOC_00143	30.8	9.5	PF17762.7|HTH_ParB	PFAM:PF17762.7
CACVWD010000004.1	40400	41386	-	BMNMOC_00144	36.5	8.2	PF21694.2|DNA_pol3_delta_C	PFAM:PF21694.2
CACVWD010000004.1	41553	41840	+	BMNMOC_00145	11.1	4.8	PF01250.22|Ribosomal_S6	PFAM:PF01250.22
CACVWD010000004.1	42668	43429	-	BMNMOC_00148	27.2	8.4		
CACVWD010000004.1	43506	45671	-	BMNMOC_00149	78.6	9.4	PF00361.26|Proton_antipo_M	PFAM:PF00361.26
CACVWD010000004.1	45712	47070	-	BMNMOC_00150	48.8	9.9	PF00361.26|Proton_antipo_M	PFAM:PF00361.26
CACVWD010000004.1	48559	50046	-	BMNMOC_00152	53.6	9.3	PF00361.26|Proton_antipo_M	PFAM:PF00361.26
CACVWD010000004.1	50436	51338	-	BMNMOC_00154	32.6	6.3	PF20501.3|MbhE	PFAM:PF20501.3
CACVWD010000004.1	51316	51585	-	BMNMOC_00155	9.8	8.7	PF13244.11|MbhD	PFAM:PF13244.11
CACVWD010000004.1	51572	51922	-	BMNMOC_00156	13.0	6.3		
CACVWD010000004.1	51915	52220	-	BMNMOC_00157	11.1	6.6		
CACVWD010000004.1	52222	52680	-	BMNMOC_00158	17.5	10.1		
CACVWD010000004.1	52759	53751	-	BMNMOC_00159	37.6	5.3	PF03372.29|Exo_endo_phos	PFAM:PF03372.29
CACVWD010000004.1	53993	54757	+	BMNMOC_00160	29.2	5.2	PF00702.32|Hydrolase, PF13242.12|Hydrolase_like	PFAM:PF00702.32, PFAM:PF13242.12
CACVWD010000005.1	2381	3562	-	BMNMOC_00164	42.5	5.3	PF00155.27|Aminotran_1_2, PF04864.19|Alliinase_C	PFAM:PF00155.27, PFAM:PF04864.19
CACVWD010000005.1	3559	4347	-	BMNMOC_00165	27.7	5.1	PF01678.24|DAP_epimerase	PFAM:PF01678.24
CACVWD010000005.1	8157	8297	-	BMNMOC_00168	5.2	4.3		
CACVWD010000005.1	8490	8663	-	BMNMOC_00169	6.5	4.6		
CACVWD010000005.1	8714	17656	-	BMNMOC_00170	325.6	4.3	PF00404.24|Dockerin_1, PF03160.20|Calx-beta, PF24346.1|DUF7507	PFAM:PF00404.24, PFAM:PF03160.20, PFAM:PF24346.1
CACVWD010000005.1	17723	19903	-	BMNMOC_00171	81.0	9.3	PF00005.33|ABC_tran	PFAM:PF00005.33
CACVWD010000005.1	19913	22096	-	BMNMOC_00172	80.8	9.1	PF00005.33|ABC_tran, PF13529.12|Peptidase_C39_2	PFAM:PF00005.33, PFAM:PF13529.12
CACVWD010000005.1	22103	22525	-	BMNMOC_00173	15.5	4.6		
CACVWD010000005.1	23397	23948	-	BMNMOC_00174	19.9	4.7		
CACVWD010000005.1	23993	24796	-	BMNMOC_00175	29.7	9.3		
CACVWD010000005.1	25995	26288	-	BMNMOC_00178	11.0	4.5		
CACVWD010000006.1	189	1124	-	BMNMOC_00181	34.6	4.5		
CACVWD010000006.1	3258	4442	+	BMNMOC_00184	43.2	5.9	PF16325.11|Peptidase_U32_C	PFAM:PF16325.11
CACVWD010000006.1	4478	4993	-	BMNMOC_00185	19.0	4.3		
CACVWD010000006.1	4990	5850	-	BMNMOC_00186	30.8	5.5		
CACVWD010000006.1	6190	6675	-	BMNMOC_00188	18.9	8.3	PF01047.28|MarR	PFAM:PF01047.28
CACVWD010000006.1	6830	8827	+	BMNMOC_00189	72.0	6.5	PF00561.26|Abhydrolase_1, PF12146.15|Hydrolase_4	PFAM:PF00561.26, PFAM:PF12146.15
CACVWD010000006.1	11028	11837	+	BMNMOC_00193	31.1	9.4		
CACVWD010000006.1	11900	12910	+	BMNMOC_00194	37.0	5.4		
CACVWD010000006.1	12919	14109	+	BMNMOC_00195	42.7	5.1	PF00288.32|GHMP_kinases_N, PF10509.15|GalKase_gal_bdg	PFAM:PF00288.32, PFAM:PF10509.15
CACVWD010000006.1	15398	17053	+	BMNMOC_00197	62.5	6.0	PF00703.27|Glyco_hydro_2, PF02836.23|Glyco_hydro_2_C, PF02837.24|Glyco_hydro_2_N, PF22666.2|Glyco_hydro_2_N2	PFAM:PF00703.27, PFAM:PF02836.23, PFAM:PF02837.24, PFAM:PF22666.2
CACVWD010000006.1	17481	18902	-	BMNMOC_00199	53.3	5.0	PF00590.25|TP_methylase, PF03819.22|MazG	PFAM:PF00590.25, PFAM:PF03819.22
CACVWD010000006.1	18904	20556	-	BMNMOC_00200	58.6	9.8		
CACVWD010000006.1	24244	24783	+	BMNMOC_00204	20.7	4.7		
CACVWD010000006.1	33664	33858	+	BMNMOC_00213	7.1	6.7		
CACVWD010000006.1	33921	35447	+	BMNMOC_00214	56.6	6.9	PF00270.35|DEAD, PF17764.6|PriA_3primeBD, PF18319.7|Zn_ribbon_PriA	PFAM:PF00270.35, PFAM:PF17764.6, PFAM:PF18319.7
CACVWD010000006.1	35440	36114	+	BMNMOC_00215	25.8	8.4	PF00271.37|Helicase_C, PF18074.6|PriA_C	PFAM:PF00271.37, PFAM:PF18074.6
CACVWD010000007.1	50	1000	+	BMNMOC_00216	33.9	11.9		
CACVWD010000007.1	847	2766	-	BMNMOC_00217	69.0	4.8	PF00112.29|Peptidase_C1, PF18560.7|Lectin_like	PFAM:PF00112.29, PFAM:PF18560.7
CACVWD010000007.1	5619	6731	+	BMNMOC_00220	42.0	6.3	PF00004.35|AAA, PF00308.24|Bac_DnaA, PF01695.23|IstB_IS21, PF11638.13|DnaA_N	PFAM:PF00004.35, PFAM:PF00308.24, PFAM:PF01695.23, PFAM:PF11638.13
CACVWD010000007.1	6707	6883	+	BMNMOC_00221	6.7	6.7	PF08299.17|Bac_DnaA_C	PFAM:PF08299.17
CACVWD010000007.1	7142	8236	+	BMNMOC_00222	40.9	4.9	PF00712.24|DNA_pol3_beta, PF02767.21|DNA_pol3_beta_2, PF02768.20|DNA_pol3_beta_3	PFAM:PF00712.24, PFAM:PF02767.21, PFAM:PF02768.20
CACVWD010000007.1	8433	8570	-	BMNMOC_00223	5.2	4.8	PF00011.27|HSP20	PFAM:PF00011.27
CACVWD010000007.1	8637	8870	-	BMNMOC_00224	9.2	5.0	PF00011.27|HSP20	PFAM:PF00011.27
CACVWD010000007.1	9090	9344	-	BMNMOC_00225	9.5	9.0		
CACVWD010000007.1	9448	9564	-	BMNMOC_00226	4.2	4.9		
CACVWD010000007.1	9586	10329	+	BMNMOC_00227	26.6	5.5	PF01551.29|Peptidase_M23	PFAM:PF01551.29
CACVWD010000007.1	16432	17694	+	BMNMOC_00231	45.7	4.9	PF00933.27|Glyco_hydro_3	PFAM:PF00933.27
CACVWD010000007.1	19195	20223	+	BMNMOC_00233	37.6	4.9	PF03734.19|YkuD	PFAM:PF03734.19
CACVWD010000007.1	20292	21071	+	BMNMOC_00234	28.3	9.3	PF13240.11|Zn_Ribbon_1	PFAM:PF13240.11
CACVWD010000007.1	24699	25391	+	BMNMOC_00237	24.8	9.4	PF13240.11|Zn_Ribbon_1	PFAM:PF13240.11
CACVWD010000007.1	26928	27662	+	BMNMOC_00239	26.4	9.2		
CACVWD010000007.1	28426	28710	+	BMNMOC_00241	10.6	5.6	PF03992.22|ABM	PFAM:PF03992.22
CACVWD010000007.1	33105	33533	-	BMNMOC_00246	15.9	6.9		
CACVWD010000007.1	33995	35644	-	BMNMOC_00248	61.3	6.9	PF00037.32|Fer4, PF02256.22|Fe_hyd_SSU, PF02906.19|Fe_hyd_lg_C, PF10588.14|NADH-G_4Fe-4S_3, PF12837.12|Fer4_6, PF12838.12|Fer4_7, PF13237.11|Fer4_10, PF13510.11|Fer2_4	PFAM:PF00037.32, PFAM:PF02256.22, PFAM:PF02906.19, PFAM:PF10588.14, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13237.11, PFAM:PF13510.11
CACVWD010000007.1	37524	38027	-	BMNMOC_00250	18.6	5.0		
CACVWD010000007.1	38329	39975	+	BMNMOC_00251	57.8	4.2	PF04886.17|PT	PFAM:PF04886.17
CACVWD010000007.1	40169	41422	+	BMNMOC_00252	46.7	7.2	PF02518.31|HATPase_c, PF06580.19|His_kinase	PFAM:PF02518.31, PFAM:PF06580.19
CACVWD010000008.1	79	2610	+	BMNMOC_00254	92.0	4.1	PF00404.24|Dockerin_1	PFAM:PF00404.24
CACVWD010000008.1	4240	4638	+	BMNMOC_00256	15.2	4.7		
CACVWD010000008.1	4755	5090	+	BMNMOC_00257	12.9	9.7		
CACVWD010000008.1	6499	7608	+	BMNMOC_00259	41.4	5.9		
CACVWD010000008.1	7605	9230	+	BMNMOC_00260	58.8	4.5	PF04536.20|TPM_phosphatase	PFAM:PF04536.20
CACVWD010000008.1	9401	10282	+	BMNMOC_00261	32.9	5.8		
CACVWD010000008.1	10412	11542	+	BMNMOC_00262	42.3	9.1		
CACVWD010000008.1	13036	14496	-	BMNMOC_00264	53.7	5.6		
CACVWD010000008.1	14594	15067	-	BMNMOC_00265	16.8	9.3		
CACVWD010000008.1	15080	15901	-	BMNMOC_00266	29.1	8.5	PF00288.32|GHMP_kinases_N, PF08544.19|GHMP_kinases_C	PFAM:PF00288.32, PFAM:PF08544.19
CACVWD010000008.1	15993	16775	+	BMNMOC_00267	28.2	6.4	PF00753.33|Lactamase_B, PF12706.13|Lactamase_B_2	PFAM:PF00753.33, PFAM:PF12706.13
CACVWD010000008.1	16775	17251	+	BMNMOC_00268	18.0	8.4		
CACVWD010000008.1	18866	19156	+	BMNMOC_00270	11.8	11.2		
CACVWD010000008.1	19172	20848	+	BMNMOC_00271	61.6	4.1		
CACVWD010000008.1	20862	21056	+	BMNMOC_00272	6.6	10.3		
CACVWD010000008.1	24474	25250	-	BMNMOC_00276	30.1	11.0		
CACVWD010000008.1	25190	25381	-	BMNMOC_00277	6.7	9.0		
CACVWD010000009.1	18	176	+	BMNMOC_00278	5.9	5.0		
CACVWD010000009.1	322	1941	+	BMNMOC_00279	60.5	6.6		
CACVWD010000009.1	1985	2353	-	BMNMOC_00280	13.3	9.3		
CACVWD010000009.1	4183	5424	+	BMNMOC_00283	45.9	6.2	PF00512.31|HisKA, PF02518.31|HATPase_c	PFAM:PF00512.31, PFAM:PF02518.31
CACVWD010000009.1	5522	7645	-	BMNMOC_00284	71.8	4.1	PF14262.12|Cthe_2159	PFAM:PF14262.12
CACVWD010000009.1	7673	8344	-	BMNMOC_00285	24.7	9.0		
CACVWD010000009.1	15814	16494	+	BMNMOC_00292	25.3	6.0	PF02525.22|Flavodoxin_2, PF03358.20|FMN_red	PFAM:PF02525.22, PFAM:PF03358.20
CACVWD010000009.1	18391	19164	+	BMNMOC_00295	28.6	5.6	PF01643.23|Acyl-ACP_TE, PF13279.12|4HBT_2, PF20791.3|Acyl-ACP_TE_C	PFAM:PF01643.23, PFAM:PF13279.12, PFAM:PF20791.3
CACVWD010000009.1	19246	20046	+	BMNMOC_00296	29.2	5.6		
CACVWD010000009.1	20050	20955	+	BMNMOC_00297	30.2	9.7		
CACVWD010000009.1	21009	22265	+	BMNMOC_00298	47.7	5.3	PF00128.31|Alpha-amylase, PF14701.12|hDGE_amylase, PF18612.7|Bac_A_amyl_C	PFAM:PF00128.31, PFAM:PF14701.12, PFAM:PF18612.7
CACVWD010000009.1	22552	23430	-	BMNMOC_00299	32.9	5.3	PF00294.29|PfkB	PFAM:PF00294.29
CACVWD010000010.1	386	868	+	BMNMOC_00302	18.5	6.0	PF04542.20|Sigma70_r2	PFAM:PF04542.20
CACVWD010000010.1	865	1713	+	BMNMOC_00303	31.1	6.8	PF13490.11|zf-HC2	PFAM:PF13490.11
CACVWD010000010.1	3279	3482	+	BMNMOC_00306	7.4	9.3		
CACVWD010000010.1	4312	5460	+	BMNMOC_00308	41.6	5.6	PF08436.17|DXP_redisom_C, PF13288.12|DXPR_C	PFAM:PF08436.17, PFAM:PF13288.12
CACVWD010000010.1	5470	6615	+	BMNMOC_00309	41.4	5.1	PF00595.29|PDZ, PF13180.12|PDZ_2, PF17820.7|PDZ_6	PFAM:PF00595.29, PFAM:PF13180.12, PFAM:PF17820.7
CACVWD010000010.1	15424	16608	-	BMNMOC_00314	43.4	6.7	PF00111.32|Fer2, PF00175.26|NAD_binding_1, PF00970.30|FAD_binding_6	PFAM:PF00111.32, PFAM:PF00175.26, PFAM:PF00970.30
CACVWD010000010.1	16605	18137	-	BMNMOC_00315	56.7	5.6	PF00070.33|Pyr_redox, PF01266.30|DAO, PF01593.30|Amino_oxidase, PF07992.20|Pyr_redox_2, PF13450.12|NAD_binding_8	PFAM:PF00070.33, PFAM:PF01266.30, PFAM:PF01593.30, PFAM:PF07992.20, PFAM:PF13450.12
CACVWD010000010.1	19743	21101	+	BMNMOC_00317	49.4	4.9		
CACVWD010000010.1	21098	21352	+	BMNMOC_00318	9.6	4.8	PF00550.31|PP-binding	PFAM:PF00550.31
CACVWD010000010.1	21349	22071	+	BMNMOC_00319	27.2	6.5	PF01643.23|Acyl-ACP_TE, PF20791.3|Acyl-ACP_TE_C	PFAM:PF01643.23, PFAM:PF20791.3
CACVWD010000010.1	22718	22954	-	BMNMOC_00320	8.7	10.2		
CACVWD010000010.1	23115	24116	-	BMNMOC_00321	36.3	9.7		
CACVWD010000010.1	24440	24643	-	BMNMOC_00322	6.9	9.7		
CACVWD010000011.1	97	1044	+	BMNMOC_00323	33.9	6.8		
CACVWD010000011.1	10326	10427	-	BMNMOC_00333	4.0	5.4		
CACVWD010000011.1	10424	10588	-	BMNMOC_00334	5.9	8.2	PF00892.27|EamA	PFAM:PF00892.27
CACVWD010000011.1	18749	19231	-	BMNMOC_00343	17.9	10.1		
CACVWD010000011.1	19346	20311	+	BMNMOC_00344	35.1	4.7	PF09992.14|NAGPA	PFAM:PF09992.14
CACVWD010000011.1	20365	21978	-	BMNMOC_00345	59.0	4.7	PF00128.31|Alpha-amylase	PFAM:PF00128.31
CACVWD010000011.1	22135	22578	+	BMNMOC_00346	16.3	6.5		
CACVWD010000011.1	22571	23122	+	BMNMOC_00347	20.8	4.5		
CACVWD010000011.1	25292	26815	+	BMNMOC_00349	54.8	4.3		
CACVWD010000011.1	35021	35641	-	BMNMOC_00355	23.4	7.1	PF01048.26|PNP_UDP_1	PFAM:PF01048.26
CACVWD010000011.1	35773	37386	-	BMNMOC_00356	59.6	4.5		
CACVWD010000011.1	37388	37894	-	BMNMOC_00357	19.7	6.6	PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04545.22, PFAM:PF08281.18
CACVWD010000011.1	38012	38662	-	BMNMOC_00358	24.2	5.3	PF00702.32|Hydrolase	PFAM:PF00702.32
CACVWD010000011.1	38763	39905	+	BMNMOC_00359	41.1	6.0		
CACVWD010000011.1	41964	42581	+	BMNMOC_00362	23.4	9.3	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04542.20, PFAM:PF04545.22, PFAM:PF08281.18
CACVWD010000011.1	42562	43998	+	BMNMOC_00363	52.8	4.6		
CACVWD010000011.1	44012	44650	+	BMNMOC_00364	23.8	4.2		
CACVWD010000011.1	47743	48195	-	BMNMOC_00368	16.9	8.8	PF01022.26|HTH_5, PF01037.27|AsnC_trans_reg, PF08279.18|HTH_11, PF13404.12|HTH_AsnC-type, PF13412.12|HTH_24, PF13463.12|HTH_27	PFAM:PF01022.26, PFAM:PF01037.27, PFAM:PF08279.18, PFAM:PF13404.12, PFAM:PF13412.12, PFAM:PF13463.12
CACVWD010000011.1	49965	51185	-	BMNMOC_00370	43.8	9.8	PF02368.24|Big_2	PFAM:PF02368.24
CACVWD010000011.1	51346	51507	-	BMNMOC_00371	6.4	9.5		
CACVWD010000011.1	53206	53364	-	BMNMOC_00373	5.8	7.9		
CACVWD010000011.1	53444	54028	-	BMNMOC_00374	22.2	9.4	PF02452.23|PemK_toxin	PFAM:PF02452.23
CACVWD010000012.1	1352	1624	-	BMNMOC_00376	10.0	5.6	PF07804.18|HipA_C	PFAM:PF07804.18
CACVWD010000012.1	3788	5119	-	BMNMOC_00379	49.0	4.9	PF00370.27|FGGY_N, PF02782.22|FGGY_C	PFAM:PF00370.27, PFAM:PF02782.22
CACVWD010000012.1	5116	5412	-	BMNMOC_00380	10.9	4.9		
CACVWD010000012.1	22757	23383	+	BMNMOC_00397	22.3	5.3		
CACVWD010000013.1	1583	2617	+	BMNMOC_00399	38.2	5.5		
CACVWD010000013.1	2622	3191	+	BMNMOC_00400	21.3	5.0		
CACVWD010000013.1	5154	6278	+	BMNMOC_00402	40.9	9.1	PF00226.36|DnaJ, PF00684.24|DnaJ_CXXCXGXG, PF01556.23|DnaJ_C	PFAM:PF00226.36, PFAM:PF00684.24, PFAM:PF01556.23
CACVWD010000013.1	6399	7202	+	BMNMOC_00403	29.9	8.7	PF13240.11|Zn_Ribbon_1	PFAM:PF13240.11
CACVWD010000013.1	7259	8458	-	BMNMOC_00404	45.2	9.1	PF01555.25|N6_N4_Mtase	PFAM:PF01555.25
CACVWD010000013.1	10717	11598	+	BMNMOC_00408	32.9	5.6	PF01381.28|HTH_3, PF07739.18|TipAS, PF13443.12|HTH_26, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF07739.18, PFAM:PF13443.12, PFAM:PF13560.12
CACVWD010000013.1	11647	12297	-	BMNMOC_00409	23.2	4.3		
CACVWD010000013.1	12294	13253	-	BMNMOC_00410	34.4	4.5	PF00753.33|Lactamase_B	PFAM:PF00753.33
CACVWD010000013.1	13270	13410	-	BMNMOC_00411	5.3	10.0		
CACVWD010000013.1	13542	14552	+	BMNMOC_00412	37.7	4.1		
CACVWD010000013.1	14603	16456	-	BMNMOC_00413	69.7	4.4		
CACVWD010000013.1	16453	16938	-	BMNMOC_00414	18.8	5.9	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04542.20, PFAM:PF04545.22, PFAM:PF08281.18
CACVWD010000013.1	17118	17219	-	BMNMOC_00415	3.9	4.1		
CACVWD010000013.1	17379	17654	-	BMNMOC_00416	10.5	5.0	PF01337.24|Barstar	PFAM:PF01337.24
CACVWD010000013.1	17656	18165	-	BMNMOC_00417	18.9	5.3	PF00545.25|Ribonuclease	PFAM:PF00545.25
CACVWD010000013.1	18313	20532	+	BMNMOC_00418	82.4	9.2	PF13342.12|Toprim_Crpt	PFAM:PF13342.12
