user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
MAG_GCA_902756115.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.58	11	0.96687	Genome has more than 10.8% of markers with multiple hits
MAG_GCA_902756255.1	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7741;s__UBA7741 sp900314575	GCF_036408855.1	95	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7741;s__UBA7741 sp900314575	98.24	0.895	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_036454645.1, s__UBA7741 sp036454645, 95.0, 92.36, 0.674	N/A	N/A	N/A	N/A
MAG_GCA_902756605.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aristaeella;s__Aristaeella sp900315315	GCA_900315315.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aristaeella;s__Aristaeella sp900315315	100	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902756965.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900322215	GCA_900322215.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900322215	100	0.998	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902757005.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	GCA_900317855.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_905215475.1, s__CAG-103 sp905215475, 95.0, 89.44, 0.612; GCA_900757655.1, s__CAG-103 sp900757655, 95.0, 94.44, 0.811; GCA_025757645.1, s__CAG-103 sp000432375, 95.0, 94.33, 0.768; GCA_963627135.1, s__CAG-103 sp963627135, 95.0, 93.91, 0.742; GCA_934589185.1, s__CAG-103 sp934589185, 95.43, 95.43, 0.742; GCA_934591895.1, s__CAG-103 sp934591895, 95.0, 89.95, 0.612; GCA_900543625.1, s__CAG-103 sp900543625, 95.0, 90.12, 0.606	N/A	N/A	N/A	N/A
MAG_GCA_902757025.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900316745	GCA_900316745.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900316745	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902757715.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA3792;s__UBA3792 sp900318745	GCA_900318745.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA3792;s__UBA3792 sp900318745	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017428025.1, s__UBA3792 sp017428025, 95.0, 84.94, 0.182; GCA_946614035.1, s__UBA3792 sp002369195, 95.0, 86.35, 0.215	N/A	N/A	N/A	N/A
MAG_GCA_902758975.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900320595	GCA_900320595.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900320595	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900320465.1, s__Limivicinus sp900320465, 95.0, 84.79, 0.165; GCA_002450075.1, s__Limivicinus sp002450075, 95.0, 93.33, 0.713; GCA_946184215.1, s__Limivicinus sp946184215, 95.0, 87.86, 0.271; GCA_017444665.1, s__Limivicinus sp017444665, 95.0, 88.04, 0.467; GCA_902761055.1, s__Limivicinus sp902761055, 95.0, 83.09, 0.155	N/A	N/A	N/A	N/A
MAG_GCA_902759805.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1081;s__UBA1081 sp900321595	GCA_900321595.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1081;s__UBA1081 sp900321595	100	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902760415.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp002349225	GCA_902760415.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp002349225	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_000687975.1, s__Eubacterium_Q sp000687975, 95.0, 86.01, 0.173	N/A	N/A	N/A	N/A
MAG_GCA_902760595.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA4246;s__UBA4246 sp902760595	GCA_902760595.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA4246;s__UBA4246 sp902760595	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902760695.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp900316715	GCA_900316715.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp900316715	98.91	0.92	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002350525.1, s__Eubacterium_Q sp002350525, 95.0, 85.27, 0.251	N/A	N/A	N/A	N/A
MAG_GCA_902760755.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp902760755	GCA_902760755.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp902760755	100	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902760845.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp902760845	GCA_902760845.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp902760845	100	0.996	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902761055.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902761055	GCA_902761055.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902761055	100	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_947167725.1, s__Limivicinus sp947167725, 95.0, 86.8, 0.209; GCA_900320595.1, s__Limivicinus sp900320595, 95.0, 83.09, 0.155; GCA_002450075.1, s__Limivicinus sp002450075, 95.0, 83.58, 0.154; GCA_017449185.1, s__Limivicinus sp017449185, 95.0, 83.56, 0.192; GCA_017403885.1, s__Limivicinus sp017403885, 95.0, 84.25, 0.229; GCA_900319935.1, s__Limivicinus sp900319935, 95.0, 86.37, 0.282; GCA_017447645.1, s__Limivicinus sp017447645, 95.0, 85.17, 0.265	N/A	N/A	N/A	N/A
MAG_GCA_902761415.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp002371675	GCA_002371675.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp002371675	98.38	0.776	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902761635.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902761635	GCA_902761635.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902761635	100	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902790375.1, s__Limivicinus sp902790375, 95.0, 92.85, 0.649	N/A	N/A	N/A	N/A
MAG_GCA_902761665.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA6987;s__UBA6987 sp902761665	GCA_902761665.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA6987;s__UBA6987 sp902761665	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017428265.1, s__UBA6987 sp017428265, 95.0, 86.42, 0.312; GCA_902789555.1, s__UBA6987 sp902789555, 95.0, 93.64, 0.733	N/A	N/A	N/A	N/A
MAG_GCA_902762115.1	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7748;s__UBA7748 sp900314535	GCF_036408795.1	95	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7748;s__UBA7748 sp900314535	97.46	0.821	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900313905.1, s__UBA7748 sp900313905, 95.0, 83.66, 0.153	N/A	N/A	N/A	N/A
MAG_GCA_902762165.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900552085	GCA_900552085.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900552085	97.31	0.758	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900550545.1, s__Agathobacter sp900550545, 95.0, 93.46, 0.647; GCA_902363675.1, s__Agathobacter sp000434275, 95.0, 92.13, 0.49	N/A	N/A	N/A	N/A
MAG_GCA_902762505.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UBA1248;s__UBA1248 sp902762505	GCA_902762505.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UBA1248;s__UBA1248 sp902762505	100	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902778145.1, s__UBA1248 sp902778145, 95.0, 86.67, 0.212	N/A	N/A	N/A	N/A
MAG_GCA_902762905.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp003530125	GCA_902762905.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp003530125	100	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_000431135.1, s__CAG-590 sp000431135, 95.0, 84.99, 0.19; GCA_900769115.1, s__CAG-590 sp900769115, 95.0, 87.65, 0.434; GCA_900552885.1, s__CAG-590 sp900552885, 95.0, 91.72, 0.645	N/A	N/A	N/A	N/A
MAG_GCA_902763105.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__UMGS1820;s__UMGS1820 sp900545865	GCA_900545865.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__UMGS1820;s__UMGS1820 sp900545865	98.06	0.711	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902763355.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Bianqueaceae;g__RUG760;s__RUG760 sp900315265	GCA_900315265.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Bianqueaceae;g__RUG760;s__RUG760 sp900315265	99.76	0.985	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902764445.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Onthomonas;s__Onthomonas sp900314485	GCA_900314485.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Onthomonas;s__Onthomonas sp900314485	99.49	0.932	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902775105.1, s__Onthomonas sp902775105, 95.0, 85.0, 0.267	N/A	N/A	N/A	N/A
MAG_GCA_902765005.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp902765005	GCA_902765005.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp902765005	99.99	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902768995.1, s__RUG472 sp902768995, 95.02, 86.09, 0.23; GCA_902802805.1, s__RUG472 sp902802805, 95.0, 85.27, 0.196; GCA_017545535.1, s__RUG472 sp017545535, 95.0, 85.58, 0.288; GCA_902802575.1, s__RUG472 sp902802575, 95.0, 83.53, 0.179; GCA_902761365.1, s__RUG472 sp902761365, 95.0, 83.88, 0.191; GCA_902786465.1, s__RUG472 sp902786465, 95.0, 85.44, 0.263; GCA_946183765.1, s__RUG472 sp946183765, 95.0, 87.86, 0.211; GCA_900319345.1, s__RUG472 sp900319345, 95.0, 85.14, 0.28; GCA_902798825.1, s__RUG472 sp902798825, 95.0, 85.56, 0.26; GCA_902801845.1, s__RUG472 sp902801845, 95.0, 85.46, 0.29	N/A	N/A	N/A	N/A
MAG_GCA_902765025.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp902765025	GCA_902765025.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp902765025	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017448145.1, s__Vescimonas sp017448145, 95.0, 93.29, 0.682; GCA_017412585.1, s__Vescimonas sp017412585, 95.0, 93.08, 0.746; GCA_946412355.1, s__Vescimonas sp946412355, 95.0, 94.5, 0.679	N/A	N/A	N/A	N/A
MAG_GCA_902765175.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	GCF_018918025.1	95.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	97.55	0.84	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_037419475.1, s__Hominicoprocola sp037419475, 95.0, 83.58, 0.162; GCA_934553255.1, s__Hominicoprocola sp934553255, 95.0, 88.14, 0.491; GCA_021531315.1, s__Hominicoprocola sp900552375, 95.0, 88.05, 0.475; GCA_002437735.1, s__Hominicoprocola sp002437735, 95.0, 94.89, 0.792; GCA_937915075.1, s__Hominicoprocola sp937915075, 95.0, 94.34, 0.729; GCA_963654505.1, s__Hominicoprocola sp963654505, 95.0, 88.79, 0.458	N/A	N/A	N/A	N/A
MAG_GCA_902765305.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA2862;s__UBA2862 sp902765305	GCA_902765305.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA2862;s__UBA2862 sp902765305	100	0.997	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902798105.1, s__UBA2862 sp902798105, 95.0, 87.45, 0.281; GCA_900318045.1, s__UBA2862 sp900318045, 95.0, 87.62, 0.229; GCA_017512905.1, s__UBA2862 sp017512905, 95.0, 88.23, 0.306	N/A	N/A	N/A	N/A
MAG_GCA_902765595.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp002350825	GCA_902765595.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp002350825	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017428565.1, s__Limivicinus sp017428565, 95.0, 83.84, 0.159; GCA_900319635.1, s__Limivicinus sp900319635, 95.0, 84.06, 0.157	N/A	N/A	N/A	N/A
MAG_GCA_902765685.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	GCA_000431835.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	98.09	0.85	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934218695.1, s__Succinivibrio sp934218695, 95.0, 85.71, 0.302; GCA_002449335.1, s__Succinivibrio sp002449335, 95.0, 90.22, 0.577; GCA_900315395.1, s__Succinivibrio sp900315395, 95.0, 90.09, 0.531	N/A	N/A	N/A	N/A
MAG_GCA_902765725.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__Porcincola sp002350685	GCA_902765725.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__Porcincola sp002350685	99.99	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902801515.1, s__Porcincola sp902801515, 95.0, 83.35, 0.179	N/A	N/A	N/A	N/A
MAG_GCA_902765755.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp002350525	GCA_002350525.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp002350525	99.93	0.945	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900316715.1, s__Eubacterium_Q sp900316715, 95.0, 85.78, 0.255	N/A	N/A	N/A	N/A
MAG_GCA_902765825.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902775985	GCA_902775985.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902775985	98.88	0.753	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_946542465.1, s__Limivicinus sp946542465, 95.01, 95.22, 0.77	N/A	N/A	N/A	N/A
MAG_GCA_902765885.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1696;s__UMGS1696 sp902765885	GCA_902765885.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1696;s__UMGS1696 sp902765885	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
