,MAG,query,target,identity,aln_len,evalue,bitscore,product,contig,start,end,taxonomy,Protein ID,Organism name,Locus,Gene,Function,PFAM ID,Reference,mid,distance,cluster,cluster_size
123,GCA_902754935.1,EJF39099.1,GCA_902754935.1_FMFMNE_01196,36.3,259,3.6e-41,154.0,Transketolase-like pyrimidine-binding domain-containing protein,CACVLC010000012.1,146804,148819,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,147811.5,,38,3
124,GCA_902754935.1,EJF39089.1,GCA_902754935.1_FMFMNE_01197,34.9,126,8.11e-11,60.8,Ribose 5-phosphate isomerase B,CACVLC010000012.1,148819,149265,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755,EJF39089.1,Clostridium sp. MSTE9,sulfo-TK,sqwI,SE isomerase,PF02502,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,149042.0,1230.5,38,3
125,GCA_902754935.1,MCD5344479.1,GCA_902754935.1_FMFMNE_01201,22.1,272,1.86e-05,50.8,Gfo/Idh/MocA-like oxidoreductase N-terminal domain-containing protein,CACVLC010000012.1,152372,153349,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755,MCD5344479.1,Arthrobacter sp. AK04,sulfo-EMP,sqgA,SQase,PF01408,https://pmc.ncbi.nlm.nih.gov/articles/PMC10755693/ ,152860.5,3818.5,38,3
163,GCA_902755005.1,EJF39099.1,GCA_902755005.1_CDDBCO_01033,47.6,269,1.78e-82,253.0,Transketolase 1,CACVLG010000008.1,49913,50749,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bovifimicola;s__Bovifimicola sp900315425,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,50331.0,,56,2
164,GCA_902755005.1,EJF39090.1,GCA_902755005.1_CDDBCO_01034,45.0,298,5.41e-76,239.0,1-deoxy-D-xylulose-5-phosphate synthase,CACVLG010000008.1,50737,51681,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bovifimicola;s__Bovifimicola sp900315425,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,51209.0,878.0,56,2
92,GCA_902754915.1,PRO65852.1,GCA_902754915.1_GLIGFB_00196,30.9,392,7.299999999999999e-52,182.0,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase,CACVLH010000001.1,188781,190022,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,PRO65852.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,sqiK,SF kinase,PF00365,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,189401.5,25587.0,63,2
93,GCA_902754915.1,PRO65853.1,GCA_902754915.1_GLIGFB_00197,35.0,311,4.5899999999999996e-55,185.0,Class II fructose-1%2C6-bisphosphate aldolase,CACVLH010000001.1,190082,191095,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,PRO65853.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,sqiA,SFP class II aldolase,PF01116,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,190588.5,1187.0,63,2
96,GCA_902754915.1,PRO65849.1,GCA_902754915.1_GLIGFB_00381,40.4,213,1.6599999999999999e-40,142.0,hypothetical protein,CACVLH010000002.1,74395,75063,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,PRO65849.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,sqvB,SQ mutarotase,PF16161,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,74729.0,21451.5,66,6
97,GCA_902754915.1,EJF39103.1,GCA_902754915.1_GLIGFB_00384,34.0,368,5.99e-66,217.0,hypothetical protein,CACVLH010000002.1,77326,78423,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,EJF39103.1,Clostridium sp. MSTE9,sulfo-TK,sqwF,SA reductase,PF00465,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,77874.5,3145.5,66,6
98,GCA_902754915.1,EJF39089.1,GCA_902754915.1_GLIGFB_00385,50.6,156,3.31e-50,162.0,4-deoxy-4-sulfo-D-erythrose isomerase,CACVLH010000002.1,78413,78889,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,EJF39089.1,Clostridium sp. MSTE9,sulfo-TK,sqwI,SE isomerase,PF02502,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,78651.0,776.5,66,6
99,GCA_902754915.1,EJF39090.1,GCA_902754915.1_GLIGFB_00386,50.8,299,1.81e-96,291.0,6-deoxy-6-sulfo-D-fructose transketolase subunit SqwH,CACVLH010000002.1,78901,79824,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,79362.5,711.5,66,6
100,GCA_902754915.1,EJF39099.1,GCA_902754915.1_GLIGFB_00387,57.8,268,2.12e-100,298.0,Transketolase,CACVLH010000002.1,79828,80655,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,80241.5,879.0,66,6
101,GCA_902754915.1,PRO65851.1,GCA_902754915.1_GLIGFB_00388,33.2,443,5.82e-79,255.0,Sulfoquinovose isomerase,CACVLH010000002.1,80920,82257,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,PRO65851.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,sqvD,SQ isomerase,PF02952,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,81588.5,1347.0,66,6
43,GCA_902754855.1,EJF39089.1,GCA_902754855.1_EGAMEC_01911,29.8,141,1.48e-11,62.8,Ribose 5-phosphate isomerase B,CACVLJ010000018.1,21522,21965,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__Colimorpha;s__Colimorpha sp900316055,EJF39089.1,Clostridium sp. MSTE9,sulfo-TK,sqwI,SE isomerase,PF02502,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,21743.5,,104,2
44,GCA_902754855.1,WP_017967310.1,GCA_902754855.1_EGAMEC_01915,25.7,179,3.04e-07,54.7,3-ketodihydrosphingosine reductase,CACVLJ010000018.1,25240,26043,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__Colimorpha;s__Colimorpha sp900316055,WP_017967310.1,Rhizobium leguminosarum bv. trifolii SRDI565,sulfo-ED,sedA,SQ dehydrogenase,PF13561,https://pmc.ncbi.nlm.nih.gov/articles/pmid/32444469/ ,25641.5,3898.0,104,2
151,GCA_902754985.1,EJF39099.1,GCA_902754985.1_LHJIMM_01226,51.0,245,5.43e-85,259.0,Transketolase 2,CACVLL010000045.1,1787,2635,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides sp900316435,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,2211.0,,120,2
152,GCA_902754985.1,EJF39090.1,GCA_902754985.1_LHJIMM_01227,45.0,309,1.54e-78,246.0,Transketolase,CACVLL010000045.1,2635,3582,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides sp900316435,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,3108.5,897.5,120,2
229,GCA_902755155.1,PRO65852.1,GCA_902755155.1_CPLEAL_01532,28.5,344,1.18e-19,93.6,ATP-dependent 6-phosphofructokinase,CACVLR010000018.1,20586,21665,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Weimeria;s__Weimeria sp900315505,PRO65852.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,sqiK,SF kinase,PF00365,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,21125.5,,135,2
230,GCA_902755155.1,EJF39089.1,GCA_902755155.1_CPLEAL_01536,36.8,125,1.36e-17,78.6,Ribose 5-phosphate isomerase B,CACVLR010000018.1,23544,23993,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Weimeria;s__Weimeria sp900315505,EJF39089.1,Clostridium sp. MSTE9,sulfo-TK,sqwI,SE isomerase,PF02502,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,23768.5,2643.0,135,2
231,GCA_902755155.1,EJF39099.1,GCA_902755155.1_CPLEAL_01562,46.8,269,9.73e-80,246.0,Transketolase 1,CACVLR010000019.1,3440,4279,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Weimeria;s__Weimeria sp900315505,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,3859.5,,136,2
232,GCA_902755155.1,EJF39090.1,GCA_902755155.1_CPLEAL_01563,44.7,295,7.42e-76,239.0,1-deoxy-D-xylulose-5-phosphate synthase,CACVLR010000019.1,4267,5208,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Weimeria;s__Weimeria sp900315505,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,4737.5,878.0,136,2
193,GCA_902755075.1,EJF39090.1,GCA_902755075.1_BBBOAM_00212,46.6,296,3.6e-79,247.0,1-deoxy-D-xylulose-5-phosphate synthase,CACVLT010000001.1,226119,227060,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__Chordicoccus sp900319795,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,226589.5,42380.5,141,2
194,GCA_902755075.1,EJF39099.1,GCA_902755075.1_BBBOAM_00213,44.9,267,9.8e-79,243.0,Transketolase 1,CACVLT010000001.1,227057,227884,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__Chordicoccus sp900319795,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,227470.5,881.0,141,2
201,GCA_902755075.1,AYG21322.1,GCA_902755075.1_BBBOAM_00669,25.7,214,6.15e-08,58.2,6-phosphogluconate dehydrogenase%2C decarboxylating,CACVLT010000004.1,56060,57496,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__Chordicoccus sp900319795,AYG21322.1,Escherichia coli str. K-12 substr. MG1655,sulfo-EMP,yihU,SLA reductase,PF03446,https://www.nature.com/articles/nature12947 ,56778.0,18687.5,148,2
202,GCA_902755075.1,WP_017967310.1,GCA_902755075.1_BBBOAM_00670,29.9,211,4.9e-14,74.3,Uncharacterized oxidoreductase HI_0048,CACVLT010000004.1,57583,58434,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__Chordicoccus sp900319795,WP_017967310.1,Rhizobium leguminosarum bv. trifolii SRDI565,sulfo-ED,sedA,SQ dehydrogenase,PF13561,https://pmc.ncbi.nlm.nih.gov/articles/pmid/32444469/ ,58008.5,1230.5,148,2
207,GCA_902755075.1,PRO65849.1,GCA_902755075.1_BBBOAM_01251,36.1,202,1.99e-32,121.0,DUF4867 domain-containing protein,CACVLT010000012.1,50134,50769,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__Chordicoccus sp900319795,PRO65849.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,sqvB,SQ mutarotase,PF16161,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,50451.5,,153,2
208,GCA_902755075.1,PRO65851.1,GCA_902755075.1_BBBOAM_01252,22.8,347,6.13e-11,68.9,hypothetical protein,CACVLT010000012.1,50845,52329,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__Chordicoccus sp900319795,PRO65851.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,sqvD,SQ isomerase,PF02952,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,51587.0,1135.5,153,2
261,GCA_902755195.1,EJF39090.1,GCA_902755195.1_KBGMHI_00418,40.7,295,2.1000000000000002e-60,207.0,hypothetical protein,CACVLU010000005.1,68967,70847,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,69907.0,,165,2
262,GCA_902755195.1,EJF39099.1,GCA_902755195.1_KBGMHI_00419,43.9,264,8.66e-74,230.0,Transketolase 2,CACVLU010000005.1,70971,71789,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,71380.0,1473.0,165,2
264,GCA_902755195.1,EJF39103.1,GCA_902755195.1_KBGMHI_00773,28.1,356,2.14e-30,124.0,Iron-containing alcohol dehydrogenase,CACVLU010000011.1,55814,57052,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,EJF39103.1,Clostridium sp. MSTE9,sulfo-TK,sqwF,SA reductase,PF00465,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,56433.0,,167,2
265,GCA_902755195.1,PRO65854.1,GCA_902755195.1_KBGMHI_00774,26.5,343,3.7e-24,109.0,Aldehyde dehydrogenase,CACVLU010000011.1,57062,58480,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,PRO65854.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,slaB,SLA dehydrogenase,PF02826,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,57771.0,1338.0,167,2
268,GCA_902755195.1,WP_017967310.1,GCA_902755195.1_KBGMHI_01203,29.2,250,7.26e-12,67.8,3-oxoacyl-[acyl-carrier-protein] reductase,CACVLU010000016.1,47143,47895,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,WP_017967310.1,Rhizobium leguminosarum bv. trifolii SRDI565,sulfo-ED,sedA,SQ dehydrogenase,PF13561,https://pmc.ncbi.nlm.nih.gov/articles/pmid/32444469/ ,47519.0,,170,2
269,GCA_902755195.1,WP_017967310.1,GCA_902755195.1_KBGMHI_01204,32.4,238,1.4399999999999997e-23,99.4,3-oxoacyl-ACP synthase,CACVLU010000016.1,47904,48623,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,WP_017967310.1,Rhizobium leguminosarum bv. trifolii SRDI565,sulfo-ED,sedA,SQ dehydrogenase,PF13561,https://pmc.ncbi.nlm.nih.gov/articles/pmid/32444469/ ,48263.5,744.5,170,2
276,GCA_902755195.1,EJF39090.1,GCA_902755195.1_KBGMHI_02503,43.0,305,1.7100000000000002e-72,230.0,Transketolase%2C C-terminal subunit,CACVLU010000060.1,8191,9144,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,8667.5,,177,2
277,GCA_902755195.1,EJF39099.1,GCA_902755195.1_KBGMHI_02504,40.2,271,5.77e-57,187.0,Transketolase 2,CACVLU010000060.1,9295,10137,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,9716.0,1048.5,177,2
278,GCA_902755195.1,A0A3A6N9T6.1,GCA_902755195.1_KBGMHI_02518,33.8,432,8.14e-61,218.0,alcohol dehydrogenase,CACVLU010000061.1,7402,10026,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,A0A3A6N9T6.1,Acholeplasma sp.,sulfo-TK,sqwD,SA dehydrogenase,PF00171,https://pmc.ncbi.nlm.nih.gov/articles/pmid/37404184/ ,8714.0,,178,2
279,GCA_902755195.1,EJF39103.1,GCA_902755195.1_KBGMHI_02519,32.5,252,1.4000000000000001e-28,118.0,Alcohol dehydrogenase,CACVLU010000061.1,10213,11322,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900318465,EJF39103.1,Clostridium sp. MSTE9,sulfo-TK,sqwF,SA reductase,PF00465,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,10767.5,2053.5,178,2
235,GCA_902755185.1,A0A3A6NE59.1,GCA_902755185.1_ENAIKL_00074,35.3,360,2.35e-53,186.0,Succinate--CoA ligase [ADP-forming] subunit beta,CACVMD010000001.1,83879,85045,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900314855,A0A3A6NE59.1,Acholeplasma sp.,sulfo-TK,sqwK,ADP-forming sulfoacetate- CoA ligase subunit SqwK,PF00549,https://pmc.ncbi.nlm.nih.gov/articles/pmid/37404184/ ,84462.0,,222,2
236,GCA_902755185.1,A0A3A6N9V6.1,GCA_902755185.1_ENAIKL_00075,40.7,297,1.28e-77,242.0,Succinate--CoA ligase [ADP-forming] subunit alpha,CACVMD010000001.1,85048,85950,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900314855,A0A3A6N9V6.1,Acholeplasma sp.,sulfo-TK,sqwL,ADP-forming sulfoacetate-CoA ligase subunit SqwL,PF00549,https://pmc.ncbi.nlm.nih.gov/articles/pmid/37404184/ ,85499.0,1037.0,222,2
342,GCA_902755375.1,A0A3A6NE59.1,GCA_902755375.1_IGFCAI_00482,30.1,396,1.12e-44,163.0,Succinate--CoA ligase [ADP-forming] subunit beta,CACVMM010000002.1,424206,425393,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__RUG039;s__RUG039 sp900314875,A0A3A6NE59.1,Acholeplasma sp.,sulfo-TK,sqwK,ADP-forming sulfoacetate- CoA ligase subunit SqwK,PF00549,https://pmc.ncbi.nlm.nih.gov/articles/pmid/37404184/ ,424799.5,18362.0,239,2
343,GCA_902755375.1,A0A3A6N9V6.1,GCA_902755375.1_IGFCAI_00483,38.4,305,5.09e-65,210.0,Succinate--CoA ligase [ADP-forming] subunit alpha,CACVMM010000002.1,425418,426344,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__RUG039;s__RUG039 sp900314875,A0A3A6N9V6.1,Acholeplasma sp.,sulfo-TK,sqwL,ADP-forming sulfoacetate-CoA ligase subunit SqwL,PF00549,https://pmc.ncbi.nlm.nih.gov/articles/pmid/37404184/ ,425881.0,1081.5,239,2
317,GCA_902755235.1,EJF39090.1,GCA_902755235.1_NEGBFK_00303,26.4,265,1.26e-05,51.6,Transketolase-like pyrimidine-binding domain-containing protein,CACVMT010000007.1,59550,62033,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900320365,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,60791.5,,247,3
318,GCA_902755235.1,EJF39099.1,GCA_902755235.1_NEGBFK_00306,41.3,271,2.95e-60,196.0,Transketolase 2,CACVMT010000007.1,64966,65811,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900320365,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,65388.5,4597.0,247,3
