cluster,target,contig,SQ_gene_content_set,SQ_pathway,SQ_score,taxonomy,bitscore_list,evalue_list
675,"GCA_902755885.1_LMFEPJ_01817,GCA_902755885.1_LMFEPJ_01818,GCA_902755885.1_LMFEPJ_01819,GCA_902755885.1_LMFEPJ_01820,GCA_902755885.1_LMFEPJ_01821",CACVOX010000050.1,"sqvD,sqwF,sqwG,sqwH,sqwI",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900316255,"[218.0, 163.0, 291.0, 286.0, 191.0]","[3.1000000000000003e-66, 8.17e-51, 2.56e-96, 5.59e-96, 1.0099999999999999e-55]"
741,"GCA_902755855.1_FPIPHA_01333,GCA_902755855.1_FPIPHA_01334,GCA_902755855.1_FPIPHA_01335",CACVPG010000079.1,"sqvA,sqwG,sqwH",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp900318295,"[259.0, 240.0, 142.0]","[4.9e-84, 1.59e-77, 1.0499999999999999e-40]"
761,"GCA_902756005.1_CDGLDH_00368,GCA_902756005.1_CDGLDH_00370",CACVPO010000002.1,"sedA,sqvA",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aristaeella;s__Aristaeella sp900316415,"[67.0, 60.8]","[7.61e-12, 2.78e-09]"
802,"GCA_902756045.1_AKDBDD_00060,GCA_902756045.1_AKDBDD_00061,GCA_902756045.1_AKDBDD_00062,GCA_902756045.1_AKDBDD_00063",CACVPS010000002.1,"sqiA,sqwG,sqwH,yihV",sulfo-EMP,min,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9732;s__UBA9732 sp900321635,"[177.0, 203.0, 218.0, 123.0]","[8.34e-53, 4.56e-63, 6.6799999999999985e-68, 8.42e-32]"
829,"GCA_902756115.1_IENOOE_01025,GCA_902756115.1_IENOOE_01026,GCA_902756115.1_IENOOE_01027,GCA_902756115.1_IENOOE_01028,GCA_902756115.1_IENOOE_01029",CACVPT010000022.1,"sqvD,sqwF,sqwG,sqwH,sqwI",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__,"[208.0, 162.0, 295.0, 286.0, 279.0]","[1.13e-62, 2.33e-50, 5.54e-98, 1.07e-95, 4.7e-88]"
837,"GCA_902756115.1_IENOOE_01902,GCA_902756115.1_IENOOE_01903",CACVPT010000066.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__,"[178.0, 166.0]","[2.12e-50, 6.11e-48]"
1068,"GCA_902756255.1_ECOKNG_00555,GCA_902756255.1_ECOKNG_00556,GCA_902756255.1_ECOKNG_00557",CACVQN010000012.1,"sqvA,sqwG,sqwH",sulfo-TAL,min,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7741;s__UBA7741 sp900314575,"[139.0, 238.0, 249.0]","[2.12e-39, 1.06e-76, 8.99e-80]"
1219,"GCA_902756605.1_OCBNND_00326,GCA_902756605.1_OCBNND_00327",CACVRQ010000002.1,"sqvA,yihV",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aristaeella;s__Aristaeella sp900315315,"[55.5, 86.7]","[3.33e-07, 3.54e-19]"
1392,"GCA_902757005.1_IMBJAP_01138,GCA_902757005.1_IMBJAP_01139",CACVTD010000016.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855,"[163.0, 172.0]","[1.01e-44, 1.91e-50]"
1402,"GCA_902756965.1_FCAJKB_00417,GCA_902756965.1_FCAJKB_00418,GCA_902756965.1_FCAJKB_00419,GCA_902756965.1_FCAJKB_00420,GCA_902756965.1_FCAJKB_00421",CACVTF010000006.1,"sqvA,sqvB,sqvD,yihQ,yihU",sulfo-TAL,max,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900322215,"[283.0, 142.0, 125.0, 270.0, 561.0]","[7.569999999999999e-90, 1.1399999999999999e-40, 1.05e-32, 1.1999999999999999e-90, 5.0100000000000004e-192]"
1440,"GCA_902757025.1_CANEDN_00316,GCA_902757025.1_CANEDN_00317,GCA_902757025.1_CANEDN_00318,GCA_902757025.1_CANEDN_00319,GCA_902757025.1_CANEDN_00320,GCA_902757025.1_CANEDN_00323,GCA_902757025.1_CANEDN_00324",CACVTL010000002.1,"sqvB,sqvD,sqwF,sqwG,sqwH,sqwI,yihQ",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900316745,"[282.0, 291.0, 287.0, 175.0, 203.0, 120.0, 383.0]","[2.13e-89, 1.88e-97, 8.069999999999999e-95, 2.27e-55, 9.36e-61, 3.53e-32, 9.91e-123]"
1443,"GCA_902757025.1_CANEDN_00593,GCA_902757025.1_CANEDN_00594",CACVTL010000003.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900316745,"[184.0, 184.0]","[4.53e-55, 1.35e-52]"
1719,"GCA_902757715.1_BMNMOC_00470,GCA_902757715.1_BMNMOC_00473,GCA_902757715.1_BMNMOC_00474,GCA_902757715.1_BMNMOC_00475,GCA_902757715.1_BMNMOC_00476,GCA_902757715.1_BMNMOC_00477,GCA_902757715.1_BMNMOC_00479,GCA_902757715.1_BMNMOC_00482",CACVWD010000015.1,"sedA,sqvB,sqvD,sqwF,sqwG,sqwH,sqwI,yihQ",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA3792;s__UBA3792 sp900318745,"[145.0, 218.0, 154.0, 283.0, 291.0, 276.0, 413.0, 70.5]","[1.0499999999999999e-41, 2.14e-66, 2.53e-47, 2.8e-93, 1.14e-97, 7.36e-87, 2.74e-134, 1.14e-12]"
2172,"GCA_902758975.1_PDNLID_00419,GCA_902758975.1_PDNLID_00420",CACWAU010000006.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900320595,"[166.0, 150.0]","[6.11e-48, 3.86e-40]"
2181,"GCA_902758975.1_PDNLID_01452,GCA_902758975.1_PDNLID_01453,GCA_902758975.1_PDNLID_01454,GCA_902758975.1_PDNLID_01455,GCA_902758975.1_PDNLID_01457",CACWAU010000038.1,"sqvD,sqwF,sqwG,sqwH,sqwI",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900320595,"[207.0, 162.0, 280.0, 280.0, 235.0]","[3.14e-62, 1.64e-50, 6.229999999999999e-92, 4.04e-93, 2.6900000000000004e-72]"
2594,"GCA_902759805.1_KFMKEG_01678,GCA_902759805.1_KFMKEG_01679,GCA_902759805.1_KFMKEG_01681",CACWEF010000325.1,"sqvA,yihQ,yihU",sulfo-TAL,max,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1081;s__UBA1081 sp900321595,"[102.0, 262.0, 602.0]","[9.62e-24, 9.21e-88, 1.1e-207]"
3161,"GCA_902760415.1_OHCENC_00120,GCA_902760415.1_OHCENC_00121,GCA_902760415.1_OHCENC_00122,GCA_902760415.1_OHCENC_00123",CACWGK010000002.1,"sqvA,sqvD,sqwG,sqwH",sulfo-TAL,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp002349225,"[63.2, 248.0, 260.0, 159.0]","[4.28e-09, 2.47e-79, 2.16e-85, 3.43e-47]"
3283,"GCA_902760595.1_GKDGGA_01187,GCA_902760595.1_GKDGGA_01188,GCA_902760595.1_GKDGGA_01189",CACWHI010000014.1,"sqiA,sqvD,yihV",sulfo-EMP,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA4246;s__UBA4246 sp902760595,"[118.0, 160.0, 96.7]","[1.32e-29, 3.2e-46, 4.86e-20]"
3286,"GCA_902760595.1_GKDGGA_01253,GCA_902760595.1_GKDGGA_01258",CACWHI010000015.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA4246;s__UBA4246 sp902760595,"[171.0, 107.0]","[5.02e-48, 4.8e-25]"
3315,"GCA_902760695.1_GDKJEF_01556,GCA_902760695.1_GDKJEF_01557,GCA_902760695.1_GDKJEF_01558,GCA_902760695.1_GDKJEF_01559",CACWHJ010000013.1,"sqvA,sqvD,sqwG,sqwH",sulfo-TAL,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp900316715,"[159.0, 264.0, 232.0, 63.9]","[2.4200000000000004e-47, 4.08e-87, 4.4700000000000005e-73, 2.43e-09]"
3338,"GCA_902760755.1_HOKMBF_01484,GCA_902760755.1_HOKMBF_01485",CACWHK010000025.1,sqvA,sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp902760755,"[161.0, 47.0]","[4.28e-48, 0.000568]"
3372,"GCA_902760845.1_HIKMNB_00460,GCA_902760845.1_HIKMNB_00461",CACWHX010000007.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp902760845,"[178.0, 176.0]","[7.88e-53, 1.5999999999999998e-49]"
3492,"GCA_902761055.1_LEBANJ_00062,GCA_902761055.1_LEBANJ_00063",CACWIS010000001.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902761055,"[161.0, 173.0]","[5.1799999999999995e-46, 1.1999999999999998e-48]"
3498,"GCA_902761055.1_LEBANJ_00697,GCA_902761055.1_LEBANJ_00699,GCA_902761055.1_LEBANJ_00700,GCA_902761055.1_LEBANJ_00701,GCA_902761055.1_LEBANJ_00702,GCA_902761055.1_LEBANJ_00703",CACWIS010000005.1,"sqvD,sqwF,sqwG,sqwH,sqwI,yihQ",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902761055,"[666.0, 280.0, 291.0, 283.0, 166.0, 204.0]","[4.29e-233, 1.72e-88, 1.6200000000000002e-97, 3.84e-93, 1e-51, 3.45e-61]"
3741,"GCA_902761415.1_CDCJLL_00207,GCA_902761415.1_CDCJLL_00208",CACWKG010000005.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp002371675,"[176.0, 158.0]","[8.14e-50, 7.94e-45]"
3749,"GCA_902761415.1_CDCJLL_01255,GCA_902761415.1_CDCJLL_01256,GCA_902761415.1_CDCJLL_01257,GCA_902761415.1_CDCJLL_01258,GCA_902761415.1_CDCJLL_01259,GCA_902761415.1_CDCJLL_01260",CACWKG010000057.1,"sqvD,sqwF,sqwG,sqwH,sqwI",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp002371675,"[153.0, 266.0, 269.0, 290.0, 166.0, 194.0]","[1.82e-41, 5.72e-83, 3.48e-89, 5.14e-96, 9.72e-52, 1.24e-57]"
3820,"GCA_902761665.1_KDKEBL_00273,GCA_902761665.1_KDKEBL_00274,GCA_902761665.1_KDKEBL_00275,GCA_902761665.1_KDKEBL_00276,GCA_902761665.1_KDKEBL_00279,GCA_902761665.1_KDKEBL_00280",CACWLA010000003.1,"sqvD,sqwF,sqwG,sqwH,sqwI,yihQ",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA6987;s__UBA6987 sp902761665,"[211.0, 166.0, 310.0, 283.0, 257.0, 388.0]","[1.44e-63, 7.069999999999999e-52, 5.03e-104, 2.6e-94, 4.03e-79, 1.6700000000000002e-124]"
3914,"GCA_902761635.1_AHAPNN_00590,GCA_902761635.1_AHAPNN_00591",CACWLG010000006.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902761635,"[163.0, 178.0]","[6.680000000000001e-47, 1.51e-50]"
3919,"GCA_902761635.1_AHAPNN_01204,GCA_902761635.1_AHAPNN_01206,GCA_902761635.1_AHAPNN_01207,GCA_902761635.1_AHAPNN_01208,GCA_902761635.1_AHAPNN_01209,GCA_902761635.1_AHAPNN_01210,GCA_902761635.1_AHAPNN_01213",CACWLG010000014.1,"sqvB,sqvD,sqwF,sqwG,sqwH,sqwI,yihQ",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902761635,"[672.0, 257.0, 292.0, 293.0, 164.0, 213.0, 137.0]","[3.1500000000000004e-235, 2.06e-79, 4e-98, 4.48e-97, 4.06e-51, 1.85e-64, 2.0599999999999998e-38]"
4172,"GCA_902762165.1_OGFIII_01436,GCA_902762165.1_OGFIII_01441,GCA_902762165.1_OGFIII_01445,GCA_902762165.1_OGFIII_01446,GCA_902762165.1_OGFIII_01447",CACWMW010000018.1,"sqvA,sqwG,sqwH,yihV",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900552085,"[62.4, 60.1, 260.0, 250.0, 155.0]","[3.62e-09, 9.87e-09, 2.61e-84, 1.49e-81, 1.13e-45]"
4212,"GCA_902762115.1_JOEPHJ_01947,GCA_902762115.1_JOEPHJ_01948",CACWNC010000027.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7748;s__UBA7748 sp900314535,"[110.0, 172.0]","[1.91e-26, 1.3699999999999998e-48]"
4396,"GCA_902762505.1_BDFJLF_02095,GCA_902762505.1_BDFJLF_02096",CACWOQ010000072.1,"sqvA,sqwH",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UBA1248;s__UBA1248 sp902762505,"[55.5, 129.0]","[7.27e-07, 1.66e-35]"
4740,"GCA_902762905.1_HPIMCC_02261,GCA_902762905.1_HPIMCC_02262,GCA_902762905.1_HPIMCC_02263,GCA_902762905.1_HPIMCC_02264",CACWQE010000058.1,"sqvA,sqwG,sqwH,yihV",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp003530125,"[72.0, 162.0, 259.0, 246.0]","[7.06e-13, 1.51e-48, 4.47e-85, 6.780000000000001e-79]"
4944,"GCA_902763105.1_GLLPJP_00768,GCA_902763105.1_GLLPJP_00771",CACWQX010000010.1,"sqvA,sqwI",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__UMGS1820;s__UMGS1820 sp900545865,"[92.4, 161.0]","[1.57e-22, 2.9399999999999995e-48]"
4952,"GCA_902763105.1_GLLPJP_01351,GCA_902763105.1_GLLPJP_01352,GCA_902763105.1_GLLPJP_01355",CACWQX010000029.1,"sqiA,sqvD,yihV",sulfo-EMP,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__UMGS1820;s__UMGS1820 sp900545865,"[125.0, 157.0, 71.6]","[2.55e-32, 4.71e-45, 7.83e-12]"
4957,"GCA_902763105.1_GLLPJP_01968,GCA_902763105.1_GLLPJP_01970",CACWQX010000077.1,"sqvA,sqvD",sulfo-TAL,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__UMGS1820;s__UMGS1820 sp900545865,"[73.9, 120.0]","[1.37e-12, 5.46e-32]"
4984,"GCA_902763355.1_LPJPKL_01535,GCA_902763355.1_LPJPKL_01536",CACWRM010000018.1,"sqiA,yihV",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Bianqueaceae;g__RUG760;s__RUG760 sp900315265,"[58.2, 164.0]","[4.4e-08, 1.36e-47]"
5276,"GCA_902763685.1_HMAJPP_00925,GCA_902763685.1_HMAJPP_00926,GCA_902763685.1_HMAJPP_00927",CACWTF010000029.1,"sqvA,sqwG,sqwH",sulfo-TAL,min,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp902763685,"[253.0, 263.0, 144.0]","[1.6699999999999998e-82, 2.44e-85, 2.49e-41]"
5552,"GCA_902764445.1_BBFOJD_00863,GCA_902764445.1_BBFOJD_00864",CACWVX010000014.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Onthomonas;s__Onthomonas sp900314485,"[164.0, 179.0]","[2.4e-47, 1.08e-50]"
5933,"GCA_902765005.1_OOCCEL_01603,GCA_902765005.1_OOCCEL_01604,GCA_902765005.1_OOCCEL_01605,GCA_902765005.1_OOCCEL_01606,GCA_902765005.1_OOCCEL_01607",CACWYB010000013.1,"sqvD,sqwF,sqwG,sqwH,sqwI",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp902765005,"[205.0, 166.0, 283.0, 278.0, 278.0]","[1.7399999999999998e-61, 4.98e-52, 2.71e-93, 1.1499999999999999e-92, 6.83e-88]"
5947,"GCA_902765025.1_MNFKOO_00832,GCA_902765025.1_MNFKOO_00833",CACWYC010000009.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp902765025,"[165.0, 177.0]","[9.37e-48, 2.9e-50]"
5987,"GCA_902765175.1_ECDJHL_00159,GCA_902765175.1_ECDJHL_00160,GCA_902765175.1_ECDJHL_00161,GCA_902765175.1_ECDJHL_00162",CACWYN010000002.1,"sqiA,sqiK,sqwG,sqwH",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525,"[189.0, 156.0, 232.0, 192.0]","[8.29e-55, 4.36e-44, 2.45e-73, 4.8e-59]"
6098,"GCA_902765305.1_LDBKKM_02971,GCA_902765305.1_LDBKKM_02972,GCA_902765305.1_LDBKKM_02974,GCA_902765305.1_LDBKKM_02976",CACWZI010000093.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA2862;s__UBA2862 sp902765305,"[75.1, 50.1, 205.0, 155.0]","[2.03e-13, 2e-05, 1.58e-63, 2.06e-44]"
6273,"GCA_902765595.1_DCCOFP_00238,GCA_902765595.1_DCCOFP_00239,GCA_902765595.1_DCCOFP_00240,GCA_902765595.1_DCCOFP_00241,GCA_902765595.1_DCCOFP_00242,GCA_902765595.1_DCCOFP_00243",CACXAQ010000002.1,"sqvD,sqwF,sqwG,sqwH,sqwI,yihQ",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp002350825,"[379.0, 271.0, 297.0, 297.0, 166.0, 217.0]","[4.51e-121, 6.600000000000001e-85, 6.05e-100, 9.7e-99, 3.35e-51, 4.37e-66]"
6274,"GCA_902765595.1_DCCOFP_00642,GCA_902765595.1_DCCOFP_00643",CACXAQ010000004.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp002350825,"[179.0, 162.0]","[1.08e-50, 2.62e-46]"
6294,"GCA_902765685.1_ACPNAI_01701,GCA_902765685.1_ACPNAI_01703,GCA_902765685.1_ACPNAI_01705",CACXAS010000023.1,"sqiA,sqvA,sqwG",sulfo-TAL,min,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835,"[89.0, 136.0, 145.0]","[1.54e-18, 1.02e-34, 6.07e-42]"
6314,"GCA_902765725.1_CAOKPM_01028,GCA_902765725.1_CAOKPM_01029,GCA_902765725.1_CAOKPM_01030",CACXAT010000009.1,"sqiA,squF,yihV",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__Porcincola sp002350685,"[158.0, 58.5, 64.3]","[2.64e-45, 3.27e-08, 3.76e-10]"
6320,"GCA_902765725.1_CAOKPM_01293,GCA_902765725.1_CAOKPM_01294",CACXAT010000013.1,"sqvA,yihV",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__Porcincola sp002350685,"[87.4, 71.6]","[1.75e-19, 9.61e-13]"
